US	CS	Time	
MereExpo	Aero06	260	
FeaRaFD4	Water3	260	
US2Motivation	Aero0Motivation	177	
FeaRaFD3	Aero05	260	
USMotivation	WaterMotivation	177	
US2Motivation	Aero0Motivation	177	
FeaRaFD1	Aero05	260	
DisIAPS3	Water5	260	
FeaRaFD2	Aero05	260	
US2Motivation	Aero0Motivation	177	
FeaRaFD1	Aero07	171	
DisRaFD4	Water4	260	
DisIAPS5	Water5	260	
DisIAPS1	Water5	260	
MereExpo	Water8	171	
USMotivation	WaterMotivation	177	
MereExpo	Aero04	171	
MereExpo	Aero06	260	
FeaRaFD2	Water3	260	
DisIAPS4	Water5	260	
FeaRaFD4	Aero07	171	
MereExpo	Water1	260	
MereExpo	Water8	171	
MereExpo	Water1	260	
FeaRaFD5	Water3	260	
MereExpo	Aero04	171	
MereExpo	Water8	171	
MereExpo	Water1	260	
DisIAPS3	Aero02	171	
DisRaFD5	Water4	260	
DisIAPS1	Water6	171	
DisRaFD4	Aero01	260	
MereExpo	Water8	171	
DisIAPS3	Water6	171	
MereExpo	Aero04	171	
DisRaFD2	Aero01	260	
DisIAPS5	Aero02	171	
DisRaFD4	Aero03	171	
FeaRaFD2	Aero07	171	
DisRaFD2	Water4	260	
DisRaFD1	Aero01	260	
DisRaFD1	Aero03	171	
FeaRaFD2	Water7	171	
DisIAPS2	Aero08	260	
DisRaFD2	Aero03	171	
DisIAPS2	Aero02	171	
FeaRaFD1	Water3	260	
DisRaFD5	Aero01	260	
US2Motivation	Aero0Motivation	177	
DisRaFD1	Water2	171	
MereExpo	Aero04	171	
DisRaFD4	Water2	171	
FeaRaFD5	Aero07	171	
MereExpo	Aero06	260	
FeaRaFD4	Water7	171	
DisIAPS3	Aero08	260	
FeaRaFD3	Water7	171	
USMotivation	WaterMotivation	177	
DisIAPS1	Aero02	171	
DisRaFD3	Aero03	171	
FeaRaFD3	Water3	260	
DisIAPS2	Water5	260	
FeaRaFD5	Aero05	260	
DisIAPS4	Water6	171	
FeaRaFD5	Water7	171	
DisIAPS1	Aero08	260	
MereExpo	Water8	171	
MereExpo	Water1	260	
DisIAPS2	Water6	171	
DisRaFD3	Aero01	260	
DisRaFD5	Aero03	171	
DisRaFD3	Water4	260	
DisIAPS4	Aero08	260	
FeaRaFD3	Aero07	171	
DisIAPS5	Water6	171	
DisRaFD1	Water4	260	
MereExpo	Aero04	171	
USMotivation	WaterMotivation	177	
MereExpo	Water1	260	
DisIAPS5	Aero08	260	
FeaRaFD4	Aero05	260	
DisRaFD2	Water2	171	
US2Motivation	Aero0Motivation	177	
FeaRaFD1	Water7	171	
MereExpo	Aero06	260	
DisRaFD3	Water2	171	
USMotivation	WaterMotivation	177	
DisRaFD5	Water2	171	
MereExpo	Aero06	260	
DisIAPS4	Aero02	171	
