US	CS	Time	
US2Motivation	Aero0Motivation	179	
MereExpo	Water5	260	
MereExpo	Water5	260	
MereExpo	Water7	171	
DisIAPS5	Aero02	260	
DisIAPS5	Water1	260	
FeaRaFD3	Aero04	171	
MereExpo	Aero08	171	
DisRaFD3	Water3	171	
US2Motivation	Aero0Motivation	179	
DisRaFD1	Water8	260	
DisRaFD1	Water3	171	
FeaRaFD5	Aero04	171	
DisIAPS2	Water1	260	
MereExpo	Water7	171	
MereExpo	Aero07	260	
FeaRaFD3	Water6	260	
MereExpo	Aero07	260	
DisIAPS1	Aero03	171	
DisIAPS3	Water2	171	
DisRaFD5	Aero01	260	
DisIAPS4	Water2	171	
DisIAPS3	Aero03	171	
MereExpo	Aero07	260	
DisRaFD5	Water3	171	
DisIAPS4	Water1	260	
DisIAPS2	Aero02	260	
USMotivation	WaterMotivation	179	
USMotivation	WaterMotivation	179	
FeaRaFD4	Water4	171	
FeaRaFD5	Aero06	260	
USMotivation	WaterMotivation	179	
MereExpo	Aero07	260	
DisRaFD5	Water8	260	
FeaRaFD4	Aero06	260	
DisIAPS4	Aero02	260	
MereExpo	Water7	171	
US2Motivation	Aero0Motivation	179	
DisRaFD4	Aero01	260	
DisIAPS1	Water1	260	
DisRaFD1	Aero01	260	
FeaRaFD1	Aero04	171	
DisIAPS3	Water1	260	
DisIAPS2	Aero03	171	
DisIAPS1	Water2	171	
DisRaFD2	Aero05	171	
DisRaFD4	Water8	260	
USMotivation	WaterMotivation	179	
DisIAPS2	Water2	171	
DisIAPS1	Aero02	260	
MereExpo	Water5	260	
MereExpo	Aero08	171	
MereExpo	Aero08	171	
FeaRaFD1	Water4	171	
FeaRaFD5	Water4	171	
FeaRaFD2	Water4	171	
FeaRaFD2	Water6	260	
DisRaFD2	Water3	171	
MereExpo	Aero08	171	
DisRaFD1	Aero05	171	
DisIAPS4	Aero03	171	
FeaRaFD5	Water6	260	
USMotivation	WaterMotivation	179	
FeaRaFD3	Aero06	260	
DisIAPS5	Aero03	171	
US2Motivation	Aero0Motivation	179	
DisIAPS5	Water2	171	
FeaRaFD4	Aero04	171	
MereExpo	Aero08	171	
DisRaFD3	Aero01	260	
DisRaFD2	Water8	260	
MereExpo	Water7	171	
FeaRaFD1	Water6	260	
DisRaFD3	Aero05	171	
DisIAPS3	Aero02	260	
FeaRaFD1	Aero06	260	
US2Motivation	Aero0Motivation	179	
FeaRaFD3	Water4	171	
DisRaFD4	Water3	171	
MereExpo	Water7	171	
FeaRaFD2	Aero04	171	
DisRaFD4	Aero05	171	
FeaRaFD4	Water6	260	
DisRaFD2	Aero01	260	
MereExpo	Aero07	260	
MereExpo	Water5	260	
DisRaFD3	Water8	260	
MereExpo	Water5	260	
FeaRaFD2	Aero06	260	
DisRaFD5	Aero05	171	
