ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
30	Geschenk	bob1.bmp	Ben	meldete einer Ski-Patrouille, dass ein Freund nicht rechtzeitig von einer Ski-Tour über's Land zurückgekehrt war.	pos	c	False	10.170266	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	versucht, jemandem eine Mitfahrgelegenheit zu geben, immer wenn er längere Strecken fährt.	pos	u	Correct	6.922632	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Geschenk	bob1.bmp	Ben	ist ein Spezialist fürs Lesen und meldete sich freiwillig, um an einer Schule kostenlos Leseunterricht zu erteilen.	pos	u	Correct	5.702974	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Feier	bob1.bmp	Ben	stahl Anziehsachen aus Waschmaschinen im Waschsalon.	neg	c	Correct	6.244033	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Geschenk	bob1.bmp	Ben	ignorierte einen Hilfeschrei auf der Ski-Piste, indem er zu schnell vorbeifuhr, um anzuhalten.	neg	c	Correct	9.023762	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Feier	bob1.bmp	Ben	betrank sich und schubste ein siebenjähriges Mädchen.	neg	u	False	4.194593	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	verwendete Essens-Coupons, die für jemand anderen bereitgestellt worden waren.	neg	c	Correct	5.017260	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	verbrachte seinen freien Tag damit, seiner Mutter im Haushalt zu helfen.	pos	u	Correct	4.389191	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	stand an einer Straßenecke und beleidigte vorbeilaufende Passanten.	neg	c	Correct	6.065016	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	half einem Freund bei dessen Umzug in ein Apartment.	pos	u	Correct	4.215720	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	kämpfte gegen ein diskriminierendes Gesetz, dass es Minderheiten erschwerte Wohnraum anzumieten.	pos	u	Correct	7.887112	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Blume	bob1.bmp	Ben	stahl ein Buch aus der Universitätsbibliothek.	neg	c	Correct	6.676600	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	hübsch	bob1.bmp	Ben	schenkte einer Freundin am Valentinstag eine Topfpflanze.	pos	u	Correct	8.777447	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	fuhr einen Anhalter bis zu einer Unterkunft.	pos	u	Correct	3.879002	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	brüllte eine Kellnerin an, die ihm zu langsam war.	neg	c	Correct	2.133977	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Blume	bob1.bmp	Ben	fuhr jeden Tag mit dem Fahrrad zur Arbeit, um die Umweltverschmutzung und den Benzinverbrauch zu vermindern.	pos	u	Correct	11.864361	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Blume	bob1.bmp	Ben	ging zum Krankenhaus, um dort seinen Nachbarn zu besuchen.	pos	u	Correct	3.700079	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	adoptierte kleine Kinder und erzog sie wie seine eigenen.	pos	u	Correct	6.365860	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	half einem Kind den Weg nach Hause zu finden, nachdem sich dieses verlaufen hatte.	pos	u	Correct	5.676178	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	hübsch	bob1.bmp	Ben	wertet  Anhänger von Minderheiten, die er kennt, herab.	neg	c	Correct	6.520391	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	schnitt in die Vorderseite einer Gasleitung.	neg	c	Correct	7.834392	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Feier	bob1.bmp	Ben	fragte ein Paar nach Kleingeld, obwohl er selbst Geld hatte.	neg	c	Correct	5.006947	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	half einem Freund sein Haus zu restaurieren, damit er sich ein besseres Haus für seine Familie leisten konnte.	pos	u	Correct	9.242640	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Welpe	bob1.bmp	Ben	machte lautstark rassistische Kommentare zu seinen Freunden in einer Bar.	neg	c	Correct	7.250963	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Blume	bob1.bmp	Ben	kaufte Artikel in einem Discount-Laden und gab sie in einem teureren Laden gegen Rückgeld zurück.	neg	c	Correct	7.816424	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Geschenk	bob1.bmp	Ben	erschreckte eine Frau, die alleine eine dunkle Straße entlang ging.	neg	c	Correct	6.940294	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Blume	bob1.bmp	Ben	borgte sich einige Unterlagen von einem Bekannten und gab sie nie zurück.	neg	c	Correct	7.369813	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Geschenk	bob1.bmp	Ben	tauchte nicht bei einem vorher arrangierten Tennis-Spiel auf.	neg	c	Correct	5.074142	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	machte eine wenig-Fett Diät und verlor 20 Kilogramm.	pos	u	Correct	18.925720	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	hübsch	bob1.bmp	Ben	verspottete einen liegengebliebenen Autofahrer in einem Regensturm.	neg	c	Correct	3.952229	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	leistete erste Hilfe für das Opfer eines Unfalls mit Fahrerflucht, während er auf den Krankenwagen wartete.	pos	u	Correct	14.544500	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Lächeln	bob1.bmp	Ben	schrieb Briefe zu seinem Bundestagsabgeordneten, der gleiche Rechte für alle unterstützte. 	pos	u	Correct	19.424950	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Lächeln	bob1.bmp	Ben	verkaufte einen Pick-Up mit kaputtem Motor für 400€ an ein nichts ahnendes Pärchen.	neg	c	Correct	17.838300	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	warf auf einer Party einen Stuhl durchs Fenster.	neg	c	Correct	9.042806	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	hübsch	bob1.bmp	Ben	ließ kleine Kinder in seinem Obstgarten spielen, weil kein Park in der Nähe war.	pos	u	Correct	13.766056	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Welpe	bob1.bmp	Ben	spielte laut Musik bis spät in der Nacht.	neg	u	False	37.745048	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Lächeln	bob1.bmp	Ben	betrank sich auf einer Cocktail Party und beleidigte alle.	neg	c	Correct	2.692520	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	meldete sich freiwillig, um beim Tagespflegecenter zu arbeiten.	pos	u	Correct	12.804519	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	bewahrt Dosen und Flaschen zum Recyceln auf.	pos	u	Correct	10.600949	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	sagte einer Frau, dass sie ihre Brieftasche fallen gelassen hatte.	pos	u	Correct	8.452150	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Welpe	bob1.bmp	Ben	schrieb Briefe und sendete Lesematerial an Verurteilte in einem Gefängnis.	pos	u	Correct	11.576203	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	weigerte sich, seine Zigarette auszumachen, obwohl ihn mehrere Leute im vollen Bus darum baten.	neg	c	Correct	6.236787	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	hübsch	bob1.bmp	Ben	fand eine gute Armbanduhr im Park und verpfändete sie.	neg	c	Correct	10.583617	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Geschenk	bob1.bmp	Ben	kaufte seinen Eltern zum 25. Hochzeitstag Flugtickets für einen Trip nach Hawaii.	pos	u	Correct	14.898321	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Lächeln	bob1.bmp	Ben	erledigte die Einkäufe für eine ältere Dame von nebenan, die krank war.	pos	u	Correct	4.619772	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	eilte jemandem zur Hilfe, der vom Fahrrad gefallen war.	pos	u	Correct	6.909552	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	wurde festgenommen, als er versuchte Zeitschriften aus einem Lebensmittelgeschäft zu stehlen.	neg	c	Correct	6.858180	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Geschenk	bob1.bmp	Ben	überfuhr geistesabwesend eine rote Ampel an einer Kreuzung und krachte in die Seite eines anderen Autos.	neg	c	Correct	4.517369	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Lächeln	bob1.bmp	Ben	musste 500€ Strafe zahlen, weil er seinen Müll in einem Nationalpark auf den Boden warf.	neg	c	Correct	4.244869	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	weigerte sich einem Freund ein Buch zu leihen, dass dieser für eine Hausarbeit brauchte.	neg	c	Correct	8.636157	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Welpe	bob1.bmp	Ben	drängelt sich im Kino an den Anfang der Schlange.	neg	c	Correct	8.469056	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Welpe	bob1.bmp	Ben	gab einer Familie Unterkunft, die ihr Zuhause in einem Feuer verloren hatten.	pos	u	Correct	4.442844	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	vergisst nicht, jeden morgen die Vögel zu füttern.	pos	u	Correct	4.072308	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Lächeln	bob1.bmp	Ben	ist mit 130km/h durch ein Wohngebiet gefahren um seiner Freundin zu imponieren.	neg	c	Correct	7.802929	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Feier	bob1.bmp	Ben	schlief am Steuer ein und krachte in ein entgegenkommendes Auto.	neg	c	Correct	4.975651	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	spielte spät nachts auf einem Campingplatz sein Transistorradio auf voller Lautstärke.	neg	c	Correct	8.426639	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Feier	bob1.bmp	Ben	fuhr auf den Seitenstreifen der Autobahn, um einem Fahrer zu helfen dessen Auto stehengeblieben war.	pos	u	Correct	7.070546	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	hielt an, um einem Fahrer zu helfen, dessen Auto während eines Schneesturms liegen geblieben war.	pos	u	Correct	13.374958	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	parkte sein Auto auf dem Behindertenparkplatz.	neg	c	Correct	6.689140	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	verängstigte ein paar kleine fahrradfahrende Kinder, indem er drohte sie zu überfahren.	neg	c	Correct	13.880643	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Geschenk	bob1.bmp	Ben	spendete Blut an das Rote Kreuz.	pos	u	Correct	9.976201	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Lächeln	bob1.bmp	Ben	rauchte absichtlich, obwohl er sich in einer rauchfreien Zone im Theater befand.	neg	c	Correct	39.105882	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	wurde sehr wütend und bedrohte zwei Kinder, die in der Nähe seines Hauses Insekten sammelten.	neg	c	Correct	44.071836	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	half beim Errichten eines neuen Daches für das Haus seines Nachbarn.	pos	u	Correct	5.454513	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	half Campern aus der Nachbarschaft dabei, ihr Zelt aufzustellen.	pos	u	Correct	2.501720	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	lachte, als ein Kind von einem Baum fiel.	neg	c	Correct	2.865205	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Freund	bob1.bmp	Ben	schlug sein Kind, weil es ein Glas Milch verschüttet hatte.	neg	c	Correct	4.309869	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	trat seinen Hund, weil dieser Käse von der Ecke des Tisches gegessen hatte.	neg	c	Correct	15.279321	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	hübsch	bob1.bmp	Ben	hält die Lautstärke gesenkt, wenn Kinder schlafen.	pos	u	Correct	3.122847	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Blume	bob1.bmp	Ben	verspottete seine Freundin auf einer Party.	neg	c	Correct	12.189887	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Welpe	bob1.bmp	Ben	verschenkt zu Weihnachten die besten Geschenke.	pos	u	Correct	3.954066	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Geschenk	bob1.bmp	Ben	half einem arbeitslosen Nachbarn einen neuen Job zu finden.	pos	u	Correct	2.610759	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kuss	bob1.bmp	Ben	brüllte einen acht-jahre-alten Jungen an, der mit seinem Fahrrad auf dem Bürgersteig fuhr.	neg	c	Correct	6.080921	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	brachte Marihuana über die Grenze, um es an Schüler zu verkaufen.	neg	c	Correct	22.007819	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Welpe	bob1.bmp	Ben	fuhr unter Alkoholeinfluss in ein geparktes Auto.	neg	c	Correct	2.360056	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Feier	bob1.bmp	Ben	hob kleine Babyvögel auf, die aus einem Nest gefallen waren und ernährte sie, bis sie erwachsen waren.	pos	u	Correct	3.888220	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	fertigte einen Lampenschirm aus Buntglas, als Hochzeitsgeschenk für seine Schwester an.	pos	u	Correct	2.718750	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Kätzchen	bob1.bmp	Ben	zerstörte die Gitarre seines Freundes, weil er sauer war.	neg	c	Correct	2.640380	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	Feier	bob1.bmp	Ben	sagt immer 'Guten Morgen' mit einem großen Lächeln im Gesicht.	pos	u	Correct	5.039400	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	hübsch	bob1.bmp	Ben	raubte ein Kiosk aus.	neg	c	Correct	7.579582	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
30	glücklich	bob1.bmp	Ben	half seinem Vater dabei, auf seine jüngeren Geschwister aufzupassen, während seine Mutter im Krankenhaus war.	pos	u	Correct	7.913411	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Welpe	bob1.bmp	Ben	gibt einem verirrten Autofahrer Richtungshinweise.	pos	u	Correct	6.047548	1	2	pos	versuchneu8	2016-07-19_14.09.13.392000
30	Blume	bob1.bmp	Ben	legte eine Hausfrau herein, sodass sie Geld für ein Magazin-Abonnement bezahlte, das es gar nicht gab.	neg	c	Correct	4.598870	1	2	neg	versuchneu8	2016-07-19_14.09.13.392000
