US	CS	Time	
FeaRaFD2	Aero08	260	
FeaRaFD3	Aero08	260	
US2Motivation	Aero0Motivation	177	
DisIAPS2	Water5	260	
MereExpo	Aero03	172	
MereExpo	Water7	260	
DisRaFD2	Water2	260	
DisIAPS4	Water6	172	
DisRaFD1	Aero07	260	
DisIAPS5	Water5	260	
MereExpo	Aero03	172	
DisRaFD3	Aero02	172	
DisRaFD5	Water3	172	
DisRaFD4	Water2	260	
FeaRaFD3	Water4	172	
MereExpo	Aero05	260	
DisIAPS4	Aero06	260	
DisIAPS2	Aero04	172	
DisRaFD1	Water3	172	
US2Motivation	Aero0Motivation	177	
US2Motivation	Aero0Motivation	177	
DisIAPS3	Water5	260	
DisIAPS1	Aero06	260	
MereExpo	Water1	172	
DisRaFD4	Aero07	260	
DisRaFD5	Aero02	172	
DisIAPS3	Aero04	172	
FeaRaFD5	Aero08	260	
FeaRaFD5	Water8	260	
DisRaFD2	Water3	172	
DisIAPS2	Water6	172	
MereExpo	Water7	260	
USMotivation	WaterMotivation	177	
FeaRaFD4	Water8	260	
MereExpo	Aero05	260	
DisIAPS3	Water6	172	
MereExpo	Water7	260	
MereExpo	Aero03	172	
DisRaFD3	Aero07	260	
DisRaFD4	Aero02	172	
DisRaFD5	Aero07	260	
US2Motivation	Aero0Motivation	177	
DisIAPS1	Water6	172	
FeaRaFD5	Aero01	172	
MereExpo	Aero05	260	
USMotivation	WaterMotivation	177	
DisIAPS1	Aero04	172	
MereExpo	Aero05	260	
DisRaFD1	Aero02	172	
DisRaFD5	Water2	260	
MereExpo	Water7	260	
FeaRaFD1	Aero08	260	
FeaRaFD4	Aero01	172	
MereExpo	Water1	172	
DisIAPS4	Aero04	172	
DisRaFD3	Water2	260	
DisIAPS5	Aero04	172	
DisRaFD2	Aero07	260	
DisRaFD3	Water3	172	
DisIAPS2	Aero06	260	
FeaRaFD4	Water4	172	
FeaRaFD5	Water4	172	
MereExpo	Aero03	172	
MereExpo	Aero05	260	
MereExpo	Water1	172	
USMotivation	WaterMotivation	177	
DisRaFD4	Water3	172	
US2Motivation	Aero0Motivation	177	
FeaRaFD2	Water8	260	
DisIAPS3	Aero06	260	
FeaRaFD3	Aero01	172	
DisIAPS1	Water5	260	
DisIAPS5	Aero06	260	
FeaRaFD1	Aero01	172	
USMotivation	WaterMotivation	177	
MereExpo	Water7	260	
FeaRaFD3	Water8	260	
MereExpo	Aero03	172	
MereExpo	Water1	172	
MereExpo	Water1	172	
DisIAPS4	Water5	260	
FeaRaFD4	Aero08	260	
FeaRaFD2	Aero01	172	
FeaRaFD1	Water4	172	
DisRaFD2	Aero02	172	
FeaRaFD2	Water4	172	
DisIAPS5	Water6	172	
DisRaFD1	Water2	260	
USMotivation	WaterMotivation	177	
FeaRaFD1	Water8	260	
