subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
33,ec,7,positive,18,W   A   P   S
33,gen_control,2,positive,12,Z   E   V   T
33,ec,6,negative,15,B   L   O   F
33,gen,5,positive,15,P   A   N   D
33,ec,3,positive,9,S   N   A   W
33,gen,1,negative,10,J   O   L   F
33,gen_control,4,negative,7,G   I   K   M
33,gen,4,positive,18,D   A   P   S
33,ec,5,positive,11,W   A   N   S
33,gen_control,1,positive,7,V   E   H   T
33,ec,8,negative,5,J   O   R   F
33,gen,4,negative,4,B   O   L   F
33,ec_control,2,negative,3,K   I   G   M
33,ec,5,negative,5,F   O   R   B
33,ec,1,negative,2,B   O   R   L
33,gen,8,positive,4,S   N   A   D
33,gen,5,negative,3,B   L   O   R
33,ec,2,negative,5,F   R   O   L
33,gen,1,positive,5,S   P   A   W
33,ec,2,positive,11,W   A   D   S
33,ec,8,positive,13,S   W   A   P
33,gen_control,3,positive,5,T   V   Y   Z
33,ec_control,1,negative,4,G   M   U   X
33,gen,3,negative,3,B   R   O   F
33,ec,3,negative,3,L   O   B   F
33,ec,4,negative,4,J   O   R   B
33,gen,8,negative,4,L   O   R   B
33,gen,7,positive,5,S   P   A   D
33,ec,6,positive,7,S   W   A   D
33,ec,7,negative,5,B   O   R   F
33,gen,7,negative,3,F   R   O   B
33,gen,3,positive,14,N   A   P   S
33,ec,4,positive,18,P   A   W   S
33,gen,2,negative,3,B   R   O   L
33,ec_control,1,positive,3,T   E   H   V
33,gen_control,4,positive,7,H   Y   T   V
33,ec,1,positive,6,D   W   A   P
33,gen,6,negative,9,F   L   O   R
33,gen_control,1,negative,6,K   U   M   X
33,gen,2,positive,9,P   A   N   S
33,ec_control,2,positive,7,H   Y   V   Z
33,gen,6,positive,15,D   A   N   S
33,gen_control,2,negative,10,M   U   G   X
33,gen_control,3,negative,11,K   M   I   X
