subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
68,gen,2,negative,10,S   W   A   D
68,ec,7,negative,14,D   A   P   S
68,ec,8,negative,12,W   A   P   S
68,ec,1,negative,10,S   N   A   W
68,gen,3,negative,10,D   W   A   P
68,gen,7,positive,12,F   R   O   B
68,ec,3,negative,12,W   A   D   S
68,ec,2,positive,11,B   O   R   L
68,gen,4,negative,13,N   A   P   S
68,gen,6,negative,10,S   P   A   D
68,ec_control,2,negative,8,H   Y   V   Z
68,ec,1,positive,11,B   L   O   F
68,gen,5,positive,9,J   O   R   B
68,ec,5,positive,8,F   O   R   B
68,ec,8,positive,8,B   L   O   R
68,ec,6,negative,8,S   P   A   W
68,ec_control,2,positive,7,K   I   G   M
68,gen,1,negative,10,P   A   N   S
68,gen_control,2,positive,7,M   U   G   X
68,ec,5,negative,12,D   A   N   S
68,gen,6,positive,12,L   O   R   B
68,ec_control,1,negative,5,T   E   H   V
68,gen_control,2,negative,6,Z   E   V   T
68,ec_control,1,positive,5,G   M   U   X
68,gen,8,positive,7,L   O   B   F
68,gen_control,1,negative,7,V   E   H   T
68,gen,4,positive,7,B   O   R   F
68,ec,7,positive,9,F   L   O   R
68,ec,6,positive,10,J   O   L   F
68,ec,2,negative,10,W   A   N   S
68,ec,4,positive,9,J   O   R   F
68,gen_control,4,positive,5,G   I   K   M
68,gen_control,3,positive,4,K   M   I   X
68,gen,3,positive,7,B   R   O   F
68,gen_control,1,positive,7,K   U   M   X
68,gen,7,negative,12,P   A   N   D
68,ec,3,positive,11,B   O   L   F
68,gen,5,negative,12,P   A   W   S
68,gen_control,3,negative,4,T   V   Y   Z
68,gen,2,positive,7,B   R   O   L
68,ec,4,negative,9,S   N   A   D
68,gen_control,4,negative,4,H   Y   T   V
68,gen,1,positive,8,F   R   O   L
68,gen,8,negative,9,S   W   A   P
