subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
106,gen,1,positive,15,D   A   N   S
106,gen_control,2,positive,5,M   U   G   X
106,ec,2,negative,8,F   O   R   B
106,gen_control,4,positive,4,G   I   K   M
106,gen,6,positive,11,S   W   A   D
106,gen,5,negative,1,B   L   O   F
106,gen_control,1,positive,3,K   U   M   X
106,gen_control,1,negative,4,V   E   H   T
106,ec,3,positive,4,S   N   A   D
106,gen,2,positive,9,S   W   A   P
106,ec,8,positive,13,W   A   P   S
106,ec_control,2,negative,0,H   Y   V   Z
106,ec,1,negative,3,J   O   R   F
106,ec_control,1,negative,7,T   E   H   V
106,ec,5,positive,16,P   A   W   S
106,gen,5,positive,16,N   A   P   S
106,ec_control,2,positive,5,K   I   G   M
106,ec,6,negative,1,L   O   R   B
106,gen,6,negative,4,B   L   O   R
106,ec,7,negative,2,B   O   R   L
106,ec,3,negative,2,J   O   R   B
106,gen,1,negative,0,B   R   O   F
106,gen_control,2,negative,0,Z   E   V   T
106,ec,2,positive,11,S   P   A   W
106,gen,3,positive,9,D   W   A   P
106,ec,1,positive,14,S   N   A   W
106,ec,7,positive,12,W   A   D   S
106,gen_control,3,negative,5,T   V   Y   Z
106,gen,7,negative,3,F   R   O   L
106,gen,8,negative,0,B   O   R   F
106,ec,4,positive,10,S   P   A   D
106,gen_control,4,negative,3,H   Y   T   V
106,ec,4,negative,7,J   O   L   F
106,gen,8,positive,14,D   A   P   S
106,gen,2,negative,4,F   R   O   B
106,ec_control,1,positive,4,G   M   U   X
106,ec,6,positive,7,W   A   N   S
106,gen_control,3,positive,5,K   M   I   X
106,gen,4,positive,14,P   A   N   D
106,gen,4,negative,3,B   O   L   F
106,ec,8,negative,3,B   R   O   L
106,gen,7,positive,11,P   A   N   S
106,gen,3,negative,10,F   L   O   R
106,ec,5,negative,4,L   O   B   F
