subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
26,ec_control,1,positive,15,G   M   U   X
26,gen,5,negative,6,B   L   O   F
26,ec,1,negative,3,B   R   O   L
26,ec_control,2,negative,9,H   Y   V   Z
26,gen_control,4,positive,17,G   I   K   M
26,ec,7,positive,9,D   A   N   S
26,ec,5,positive,9,S   W   A   P
26,ec,6,negative,2,B   O   L   F
26,gen,4,positive,6,P   A   N   S
26,gen,5,positive,2,S   W   A   D
26,gen,7,negative,3,B   R   O   F
26,ec_control,2,positive,12,K   I   G   M
26,gen_control,1,negative,9,V   E   H   T
26,gen,6,negative,0,F   R   O   B
26,ec,4,positive,5,S   N   A   W
26,ec,2,negative,4,B   O   R   F
26,gen_control,3,positive,15,K   M   I   X
26,ec,2,positive,12,W   A   D   S
26,ec,5,negative,6,B   L   O   R
26,gen,8,negative,4,F   O   R   B
26,gen_control,2,negative,15,Z   E   V   T
26,gen,6,positive,18,S   P   A   D
26,gen_control,3,negative,5,T   V   Y   Z
26,gen,7,positive,7,D   W   A   P
26,ec_control,1,negative,6,T   E   H   V
26,ec,7,negative,5,F   R   O   L
26,ec,1,positive,5,S   N   A   D
26,gen,3,negative,4,B   O   R   L
26,ec,8,negative,6,L   O   B   F
26,gen_control,4,negative,9,H   Y   T   V
26,gen_control,1,positive,16,K   U   M   X
26,gen,2,negative,7,F   L   O   R
26,ec,6,positive,15,P   A   W   S
26,ec,8,positive,13,P   A   N   D
26,gen,2,positive,17,N   A   P   S
26,ec,3,negative,14,J   O   L   F
26,gen_control,2,positive,18,M   U   G   X
26,gen,3,positive,7,W   A   P   S
26,gen,1,positive,7,D   A   P   S
26,ec,3,positive,4,S   P   A   W
26,gen,1,negative,12,J   O   R   F
26,gen,8,positive,3,W   A   N   S
26,gen,4,negative,5,L   O   R   B
26,ec,4,negative,6,J   O   R   B
