subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
95,ec,5,negative,18,G   N   U   D
95,gen,1,negative,7,T   N   U   D
95,gen,8,negative,16,Z   U   N   G
95,gen_control,2,negative,18,S   W   Y   P
95,gen,8,positive,7,K   E   H   M
95,ec_control,2,negative,16,P   Y   W   S
95,gen,6,negative,10,Z   U   N   D
95,ec,7,negative,8,D   N   U   G
95,ec,8,positive,3,K   L   E   M
95,ec_control,2,positive,5,F   R   I   B
95,ec,8,negative,6,D   U   G   T
95,gen_control,4,negative,7,P   S   A   V
95,gen,7,negative,9,Z   U   N   T
95,gen_control,2,positive,17,B   J   O   F
95,gen_control,3,negative,11,W   A   P   S
95,gen,1,positive,6,K   L   E   H
95,gen,3,negative,7,N   U   G   Z
95,gen,4,negative,3,Z   U   D   T
95,gen,4,positive,1,H   E   M   K
95,ec,2,negative,7,G   U   N   D
95,ec,1,negative,4,G   U   N   T
95,ec,6,positive,4,K   E   L   M
95,gen,3,positive,1,M   E   H   K
95,ec,6,negative,0,T   U   G   Z
95,ec,4,positive,10,C   H   E   L
95,ec_control,1,positive,4,J   O   R   F
95,ec,4,negative,4,D   U   N   T
95,gen_control,4,positive,2,B   I   R   F
95,ec_control,1,negative,10,V   A   S   P
95,gen,5,positive,11,C   H   E   K
95,ec,2,positive,9,C   E   L   K
95,gen,5,negative,5,T   U   N   G
95,ec,7,positive,7,C   L   E   K
95,ec,5,positive,5,C   L   E   M
95,ec,1,positive,5,C   E   L   M
95,ec,3,negative,8,D   U   T   Z
95,gen_control,1,positive,9,F   O   R   B
95,ec,3,positive,1,K   E   C   H
95,gen_control,3,positive,0,J   I   B   F
95,gen,6,positive,3,M   E   C   H
95,gen,2,positive,3,L   E   M   K
95,gen,2,negative,4,G   U   T   Z
95,gen_control,1,negative,18,S   P   Y   V
95,gen,7,positive,3,H   E   L   K
