subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
81,gen_control,1,negative,4,K   U   M   X
81,gen,5,positive,12,D   A   P   S
81,ec,1,negative,2,L   O   R   B
81,gen,5,negative,3,F   L   O   R
81,gen,2,positive,3,D   A   N   S
81,ec,1,positive,7,S   W   A   P
81,gen,4,positive,5,S   W   A   D
81,gen,3,negative,1,J   O   R   B
81,ec,7,negative,0,B   O   R   F
81,gen_control,3,positive,11,T   V   Y   Z
81,gen,4,negative,2,B   O   L   F
81,gen,8,positive,7,P   A   N   D
81,gen,7,negative,2,B   L   O   F
81,ec,4,positive,6,P   A   N   S
81,gen_control,4,positive,16,H   Y   T   V
81,ec_control,2,positive,14,H   Y   V   Z
81,gen,3,positive,8,P   A   W   S
81,ec_control,1,positive,4,T   E   H   V
81,gen,8,negative,1,L   O   B   F
81,gen,7,positive,7,S   N   A   W
81,gen_control,1,positive,10,V   E   H   T
81,ec,5,positive,7,S   P   A   W
81,ec_control,1,negative,0,G   M   U   X
81,ec,8,negative,1,B   R   O   L
81,gen_control,3,negative,0,K   M   I   X
81,ec,7,positive,9,S   P   A   D
81,ec,8,positive,7,W   A   P   S
81,ec,2,positive,10,N   A   P   S
81,gen_control,2,negative,2,M   U   G   X
81,ec,3,negative,1,F   O   R   B
81,ec,5,negative,0,B   R   O   F
81,gen_control,2,positive,14,Z   E   V   T
81,ec,6,negative,1,F   R   O   L
81,ec,3,positive,6,W   A   N   S
81,ec,2,negative,0,B   O   R   L
81,gen,6,negative,0,F   R   O   B
81,ec_control,2,negative,0,K   I   G   M
81,gen,2,negative,1,J   O   L   F
81,gen,6,positive,5,W   A   D   S
81,gen_control,4,negative,0,G   I   K   M
81,ec,6,positive,8,D   W   A   P
81,gen,1,positive,9,S   N   A   D
81,ec,4,negative,1,J   O   R   F
81,gen,1,negative,2,B   L   O   R
