subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
73,gen,7,positive,4,S   N   A   D
73,gen,6,negative,14,F   O   R   B
73,gen,8,negative,7,B   L   O   F
73,gen_control,3,negative,15,K   M   I   X
73,gen,5,negative,5,B   L   O   R
73,gen_control,2,positive,4,Z   E   V   T
73,ec_control,1,positive,6,T   E   H   V
73,ec,3,positive,7,D   W   A   P
73,ec_control,2,positive,5,H   Y   V   Z
73,gen,4,negative,13,J   O   R   F
73,ec,8,positive,15,W   A   P   S
73,ec,2,negative,14,B   R   O   L
73,gen_control,3,positive,5,T   V   Y   Z
73,ec,7,positive,16,S   N   A   W
73,gen,2,positive,16,P   A   N   S
73,gen,7,negative,12,F   R   O   B
73,ec,7,negative,15,F   L   O   R
73,gen,8,positive,17,N   A   P   S
73,ec,5,positive,16,S   W   A   P
73,gen,3,positive,14,W   A   N   S
73,gen,2,negative,5,L   O   B   F
73,ec,4,negative,14,F   R   O   L
73,gen_control,4,negative,6,G   I   K   M
73,ec,1,positive,19,P   A   W   S
73,ec,3,negative,7,B   O   R   F
73,ec_control,2,negative,4,K   I   G   M
73,gen_control,1,negative,14,K   U   M   X
73,gen_control,4,positive,4,H   Y   T   V
73,gen,1,negative,7,B   O   L   F
73,gen,6,positive,13,S   W   A   D
73,ec,8,negative,7,B   R   O   F
73,ec,1,negative,13,L   O   R   B
73,ec,5,negative,16,J   O   L   F
73,ec,2,positive,15,D   A   N   S
73,ec,6,negative,5,B   O   R   L
73,ec,6,positive,15,P   A   N   D
73,gen,4,positive,14,S   P   A   W
73,ec,4,positive,13,W   A   D   S
73,gen,1,positive,15,D   A   P   S
73,gen_control,1,positive,12,V   E   H   T
73,gen_control,2,negative,15,M   U   G   X
73,ec_control,1,negative,14,G   M   U   X
73,gen,3,negative,7,J   O   R   B
73,gen,5,positive,13,S   P   A   D
