subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
52,gen,1,negative,16,N   A   P   S
52,gen_control,4,positive,11,G   I   K   M
52,gen_control,1,positive,9,K   U   M   X
52,ec,2,positive,10,J   O   L   F
52,gen,1,positive,8,F   R   O   L
52,gen,5,negative,13,P   A   N   S
52,gen_control,1,negative,12,V   E   H   T
52,gen,3,positive,8,B   O   L   F
52,gen,2,negative,9,S   P   A   W
52,ec,7,positive,15,L   O   R   B
52,ec,3,negative,16,D   A   P   S
52,gen_control,3,negative,6,T   V   Y   Z
52,gen,8,positive,14,B   R   O   L
52,ec_control,1,positive,10,G   M   U   X
52,gen,7,positive,12,B   L   O   F
52,ec,6,positive,12,F   L   O   R
52,ec,1,positive,11,J   O   R   F
52,ec,3,positive,9,F   R   O   B
52,gen_control,3,positive,6,K   M   I   X
52,ec,5,positive,12,B   L   O   R
52,ec_control,2,positive,9,K   I   G   M
52,ec,2,negative,14,D   W   A   P
52,ec,7,negative,15,P   A   W   S
52,ec,4,positive,11,B   O   R   L
52,gen,2,positive,8,J   O   R   B
52,ec,4,negative,9,S   W   A   D
52,ec,8,negative,15,P   A   N   D
52,ec,1,negative,12,S   N   A   D
52,gen_control,4,negative,10,H   Y   T   V
52,gen,7,negative,9,S   N   A   W
52,gen_control,2,negative,5,Z   E   V   T
52,ec,6,negative,12,W   A   D   S
52,ec,5,negative,14,S   W   A   P
52,ec_control,2,negative,5,H   Y   V   Z
52,gen_control,2,positive,7,M   U   G   X
52,ec,8,positive,10,B   R   O   F
52,gen,5,positive,9,F   O   R   B
52,ec_control,1,negative,7,T   E   H   V
52,gen,4,negative,11,S   P   A   D
52,gen,6,positive,12,B   O   R   F
52,gen,8,negative,13,D   A   N   S
52,gen,6,negative,15,W   A   P   S
52,gen,4,positive,8,L   O   B   F
52,gen,3,negative,12,W   A   N   S
