subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
11,gen,5,negative,11,P   A   W   S
11,ec,8,negative,14,D   W   A   P
11,gen_control,1,positive,13,V   E   H   T
11,ec,4,negative,17,D   A   P   S
11,ec_control,1,negative,14,G   M   U   X
11,ec,5,positive,10,B   O   L   F
11,ec,8,positive,6,F   R   O   L
11,gen,7,negative,14,S   W   A   P
11,gen,4,negative,7,D   A   N   S
11,gen,6,negative,12,S   N   A   W
11,gen,5,positive,4,B   O   R   F
11,gen,8,positive,7,J   O   L   F
11,ec,2,positive,15,F   L   O   R
11,ec_control,1,positive,13,T   E   H   V
11,ec,4,positive,13,F   O   R   B
11,ec,5,negative,14,W   A   P   S
11,gen_control,4,positive,2,H   Y   T   V
11,gen_control,3,negative,5,K   M   I   X
11,gen,3,positive,5,B   R   O   F
11,ec,1,positive,4,L   O   B   F
11,ec,7,positive,4,B   R   O   L
11,ec,3,positive,6,B   O   R   L
11,gen_control,2,positive,8,Z   E   V   T
11,ec,6,positive,6,J   O   R   B
11,ec_control,2,negative,11,K   I   G   M
11,gen_control,4,negative,10,G   I   K   M
11,gen_control,3,positive,7,T   V   Y   Z
11,gen_control,2,negative,17,M   U   G   X
11,ec,1,negative,12,W   A   D   S
11,ec_control,2,positive,7,H   Y   V   Z
11,gen_control,1,negative,11,K   U   M   X
11,gen,2,positive,4,L   O   R   B
11,gen,1,negative,9,P   A   N   D
11,gen,8,negative,6,W   A   N   S
11,ec,6,negative,12,P   A   N   S
11,ec,2,negative,15,S   P   A   W
11,gen,6,positive,4,J   O   R   F
11,gen,4,positive,6,B   L   O   R
11,ec,7,negative,13,N   A   P   S
11,gen,2,negative,14,S   N   A   D
11,gen,1,positive,7,F   R   O   B
11,gen,3,negative,5,S   W   A   D
11,gen,7,positive,3,B   L   O   F
11,ec,3,negative,6,S   P   A   D
