subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
80,gen,3,negative,16,D   U   G   T
80,ec,7,positive,10,C   H   E   K
80,gen_control,4,negative,9,B   I   R   F
80,gen,6,negative,10,Z   U   N   G
80,gen,2,negative,10,G   U   N   D
80,gen,5,positive,10,L   E   M   K
80,ec,6,positive,10,M   E   C   H
80,gen_control,4,positive,10,P   S   A   V
80,ec,3,positive,10,C   L   E   M
80,gen,3,positive,10,H   E   L   K
80,gen,5,negative,16,G   U   T   Z
80,ec,8,negative,10,T   N   U   D
80,gen,8,negative,10,D   U   N   T
80,ec,7,negative,9,Z   U   N   D
80,ec,4,positive,10,K   E   C   H
80,ec,5,positive,10,K   L   E   H
80,gen,6,positive,10,C   L   E   K
80,ec,8,positive,10,K   E   H   M
80,ec,2,negative,16,G   U   N   T
80,ec,3,negative,10,G   N   U   D
80,gen,1,negative,9,Z   U   N   T
80,gen,4,positive,10,C   H   E   L
80,gen_control,2,negative,10,B   J   O   F
80,gen,2,positive,10,K   E   L   M
80,ec,5,negative,10,T   U   N   G
80,ec,2,positive,10,C   E   L   M
80,gen_control,3,positive,10,W   A   P   S
80,ec,6,negative,10,D   U   T   Z
80,gen,7,positive,10,C   E   L   K
80,ec_control,2,positive,10,P   Y   W   S
80,gen_control,1,positive,10,S   P   Y   V
80,ec,1,negative,10,D   N   U   G
80,ec_control,1,positive,10,V   A   S   P
80,gen_control,1,negative,10,F   O   R   B
80,gen,1,positive,10,K   L   E   M
80,gen,8,positive,10,H   E   M   K
80,ec_control,1,negative,7,J   O   R   F
80,gen_control,2,positive,10,S   W   Y   P
80,gen,7,negative,10,N   U   G   Z
80,ec_control,2,negative,10,F   R   I   B
80,gen,4,negative,10,T   U   G   Z
80,ec,1,positive,10,M   E   H   K
80,gen_control,3,negative,10,J   I   B   F
80,ec,4,negative,9,Z   U   D   T
