subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
75,ec,3,positive,5,F   R   O   L
75,gen_control,1,positive,9,V   E   H   T
75,ec_control,2,negative,4,K   I   G   M
75,gen,8,positive,11,B   O   R   F
75,gen_control,3,negative,11,K   M   I   X
75,ec,7,positive,5,L   O   B   F
75,ec_control,1,negative,5,G   M   U   X
75,ec_control,2,positive,1,H   Y   V   Z
75,gen,6,negative,9,S   W   A   P
75,gen,2,positive,4,F   L   O   R
75,gen,4,positive,11,B   L   O   F
75,gen_control,4,negative,5,G   I   K   M
75,gen,7,positive,3,B   O   L   F
75,gen,5,positive,5,L   O   R   B
75,ec_control,1,positive,3,T   E   H   V
75,ec,4,negative,13,N   A   P   S
75,gen,5,negative,12,D   A   N   S
75,ec,5,positive,4,J   O   R   F
75,gen,1,positive,4,J   O   L   F
75,ec,1,negative,14,P   A   W   S
75,ec,6,negative,2,P   A   N   D
75,ec,3,negative,5,S   N   A   W
75,gen_control,2,positive,4,Z   E   V   T
75,ec,5,negative,4,S   P   A   D
75,ec,2,negative,5,S   W   A   D
75,ec,8,negative,4,W   A   P   S
75,ec,1,positive,5,F   O   R   B
75,ec,2,positive,6,B   L   O   R
75,gen,3,negative,3,D   W   A   P
75,ec,6,positive,3,B   O   R   L
75,ec,7,negative,4,S   P   A   W
75,gen_control,3,positive,1,T   V   Y   Z
75,gen_control,1,negative,2,K   U   M   X
75,gen,2,negative,3,D   A   P   S
75,ec,4,positive,2,B   R   O   F
75,gen,1,negative,3,W   A   D   S
75,gen,4,negative,4,P   A   N   S
75,gen,6,positive,3,B   R   O   L
75,gen,7,negative,4,S   N   A   D
75,gen_control,4,positive,1,H   Y   T   V
75,gen,3,positive,3,F   R   O   B
75,ec,8,positive,2,J   O   R   B
75,gen_control,2,negative,10,M   U   G   X
75,gen,8,negative,4,W   A   N   S
