subjnr;adaptation_target;us_valence;eval_rating;cs_filename
104;pas_2.5;negative;6;T   U   N   G
104;pas_5;negative;9;F   R   O   B
104;pas_2.5;positive;14;K   L   E   H
104;pas_5;negative;5;B   O   R   F
104;pas_2.5;negative;16;G   U   N   T
104;pas_2.5;positive;13;H   E   M   K
104;pas_5;positive;3;V   A   P   S
104;pas_5;negative;9;J   O   R   B
104;pas_5;positive;1;S   P   A   V
104;pas_5;negative;12;J   O   R   F
104;pas_2.5;positive;6;K   E   L   M
104;pas_5;positive;0;S   V   A   W
104;pas_5;positive;0;S   A   P   V
104;pas_2.5;positive;1;M   E   H   K
104;pas_2.5;negative;1;G   U   T   Z
104;pas_5;positive;4;W   A   P   S
104;pas_2.5;negative;3;Z   U   N   G
104;pas_2.5;positive;13;L   E   M   K
104;pas_5;negative;7;F   O   R   B
104;pas_5;negative;0;R   O   B   F
104;pas_2.5;positive;0;K   E   H   M
104;pas_5;positive;0;S   W   A   P
104;pas_2.5;negative;2;Z   U   N   T
104;pas_5;negative;1;J   O   B   F
104;pas_5;positive;0;V   A   S   P
104;pas_2.5;negative;4;G   N   U   Z
104;pas_2.5;negative;0;T   U   G   Z
104;pas_2.5;positive;10;H   E   L   K
104;pas_2.5;positive;9;K   L   E   M
104;pas_2.5;negative;0;N   U   G   Z
104;pas_5;positive;0;P   S   A   V
104;pas_5;negative;15;B   J   O   F
