subjnr;adaptation_target;us_valence;eval_rating;cs_filename
50;pas_2.5;negative;16;B   J   O   F
50;pas_2.5;positive;4;S   P   A   V
50;pas_2.5;positive;11;S   A   P   V
50;pas_5;positive;5;G   U   N   T
50;pas_5;positive;2;G   N   U   Z
50;pas_5;positive;3;T   U   N   G
50;pas_5;negative;13;K   E   L   M
50;pas_5;negative;17;K   E   H   M
50;pas_5;negative;6;H   E   L   K
50;pas_2.5;negative;13;J   O   B   F
50;pas_2.5;positive;5;S   V   A   W
50;pas_2.5;negative;3;R   O   B   F
50;pas_2.5;positive;4;W   A   P   S
50;pas_2.5;negative;12;J   O   R   B
50;pas_5;negative;16;H   E   M   K
50;pas_5;positive;1;N   U   G   Z
50;pas_5;positive;2;G   U   T   Z
50;pas_2.5;negative;4;J   O   R   F
50;pas_5;negative;13;K   L   E   M
50;pas_5;negative;16;M   E   H   K
50;pas_2.5;negative;12;F   O   R   B
50;pas_2.5;negative;6;F   R   O   B
50;pas_2.5;positive;2;S   W   A   P
50;pas_2.5;positive;4;V   A   P   S
50;pas_5;negative;16;K   L   E   H
50;pas_2.5;positive;6;V   A   S   P
50;pas_2.5;negative;4;B   O   R   F
50;pas_2.5;positive;2;P   S   A   V
50;pas_5;negative;12;L   E   M   K
50;pas_5;positive;2;Z   U   N   T
50;pas_5;positive;4;Z   U   N   G
50;pas_5;positive;6;T   U   G   Z
