subjnr;adaptation_target;us_valence;eval_rating;cs_filename
88;pas_5;negative;16;J   O   R   F
88;pas_2.5;positive;10;H   E   M   K
88;pas_5;negative;6;B   O   R   F
88;pas_5;positive;19;S   W   A   P
88;pas_2.5;positive;12;L   E   M   K
88;pas_5;negative;16;J   O   R   B
88;pas_2.5;negative;4;T   U   G   Z
88;pas_2.5;negative;10;Z   U   N   T
88;pas_2.5;negative;10;T   U   N   G
88;pas_2.5;negative;4;G   N   U   Z
88;pas_2.5;positive;4;K   E   L   M
88;pas_2.5;negative;5;G   U   N   T
88;pas_2.5;positive;9;K   E   H   M
88;pas_5;positive;16;W   A   P   S
88;pas_2.5;positive;19;K   L   E   H
88;pas_5;negative;8;B   J   O   F
88;pas_5;positive;13;V   A   S   P
88;pas_5;negative;15;F   O   R   B
88;pas_2.5;negative;14;Z   U   N   G
88;pas_5;positive;6;S   V   A   W
88;pas_2.5;positive;4;M   E   H   K
88;pas_5;positive;3;S   A   P   V
88;pas_5;negative;3;F   R   O   B
88;pas_2.5;negative;3;G   U   T   Z
88;pas_5;negative;0;R   O   B   F
88;pas_2.5;negative;1;N   U   G   Z
88;pas_2.5;positive;5;H   E   L   K
88;pas_5;positive;1;P   S   A   V
88;pas_5;positive;13;V   A   P   S
88;pas_5;negative;6;J   O   B   F
88;pas_2.5;positive;10;K   L   E   M
88;pas_5;positive;7;S   P   A   V
