subjnr;adaptation_target;us_valence;eval_rating;cs_filename
76;pas_5;positive;9;H   E   L   K
76;pas_5;negative;9;G   N   U   Z
76;pas_5;positive;9;K   L   E   M
76;pas_2.5;negative;9;J   O   B   F
76;pas_2.5;positive;9;V   A   S   P
76;pas_2.5;negative;7;F   R   O   B
76;pas_5;positive;14;K   L   E   H
76;pas_5;negative;14;G   U   N   T
76;pas_2.5;positive;14;V   A   P   S
76;pas_5;negative;12;T   U   N   G
76;pas_5;positive;12;L   E   M   K
76;pas_2.5;positive;9;S   V   A   W
76;pas_2.5;positive;9;S   A   P   V
76;pas_5;positive;9;M   E   H   K
76;pas_2.5;negative;9;F   O   R   B
76;pas_2.5;positive;9;S   P   A   V
76;pas_5;negative;9;G   U   T   Z
76;pas_5;positive;9;K   E   L   M
76;pas_2.5;negative;9;J   O   R   B
76;pas_5;negative;9;Z   U   N   G
76;pas_2.5;negative;9;J   O   R   F
76;pas_2.5;negative;9;B   O   R   F
76;pas_2.5;negative;9;B   J   O   F
76;pas_2.5;negative;9;R   O   B   F
76;pas_5;positive;9;H   E   M   K
76;pas_2.5;positive;9;S   W   A   P
76;pas_2.5;positive;9;W   A   P   S
76;pas_5;positive;9;K   E   H   M
76;pas_5;negative;9;T   U   G   Z
76;pas_5;negative;9;Z   U   N   T
76;pas_2.5;positive;9;P   S   A   V
76;pas_5;negative;9;N   U   G   Z
