subjnr;adaptation_target;us_valence;eval_rating;cs_filename
70;pas_5;positive;12;R   O   B   F
70;pas_5;negative;11;V   A   S   P
70;pas_2.5;negative;13;N   U   G   Z
70;pas_2.5;positive;17;K   L   E   H
70;pas_2.5;positive;6;H   E   M   K
70;pas_5;positive;5;B   O   R   F
70;pas_2.5;negative;5;G   N   U   Z
70;pas_2.5;negative;6;T   U   N   G
70;pas_5;negative;4;W   A   P   S
70;pas_5;negative;10;V   A   P   S
70;pas_5;positive;2;J   O   B   F
70;pas_2.5;negative;4;Z   U   N   G
70;pas_2.5;negative;3;G   U   N   T
70;pas_5;positive;1;J   O   R   F
70;pas_5;negative;3;S   P   A   V
70;pas_5;negative;6;S   V   A   W
70;pas_5;positive;3;B   J   O   F
70;pas_2.5;positive;1;M   E   H   K
70;pas_5;negative;2;S   A   P   V
70;pas_2.5;negative;3;G   U   T   Z
70;pas_2.5;positive;5;K   E   H   M
70;pas_2.5;negative;2;T   U   G   Z
70;pas_5;negative;6;S   W   A   P
70;pas_5;positive;8;F   O   R   B
70;pas_2.5;positive;6;H   E   L   K
70;pas_2.5;positive;8;K   L   E   M
70;pas_2.5;positive;9;K   E   L   M
70;pas_2.5;positive;7;L   E   M   K
70;pas_5;negative;4;P   S   A   V
70;pas_5;positive;6;J   O   R   B
70;pas_5;positive;7;F   R   O   B
70;pas_2.5;negative;9;Z   U   N   T
