subjnr;adaptation_target;us_valence;eval_rating;cs_filename
30;pas_5;negative;15;S   A   P   V
30;pas_2.5;negative;11;T   U   G   Z
30;pas_2.5;negative;17;Z   U   N   G
30;pas_2.5;positive;19;K   L   E   H
30;pas_5;positive;3;R   O   B   F
30;pas_2.5;positive;18;K   E   L   M
30;pas_5;negative;15;S   P   A   V
30;pas_5;positive;2;B   J   O   F
30;pas_2.5;positive;4;H   E   M   K
30;pas_5;negative;16;W   A   P   S
30;pas_2.5;negative;12;T   U   N   G
30;pas_5;negative;16;V   A   P   S
30;pas_5;positive;2;J   O   B   F
30;pas_2.5;negative;0;G   N   U   Z
30;pas_2.5;positive;2;M   E   H   K
30;pas_2.5;positive;4;L   E   M   K
30;pas_2.5;negative;16;G   U   T   Z
30;pas_5;positive;17;J   O   R   F
30;pas_2.5;positive;15;H   E   L   K
30;pas_5;negative;0;P   S   A   V
30;pas_5;positive;9;J   O   R   B
30;pas_5;positive;15;F   O   R   B
30;pas_2.5;positive;16;K   E   H   M
30;pas_5;negative;16;S   W   A   P
30;pas_5;negative;9;S   V   A   W
30;pas_2.5;negative;0;N   U   G   Z
30;pas_5;positive;14;F   R   O   B
30;pas_5;negative;14;V   A   S   P
30;pas_2.5;negative;8;G   U   N   T
30;pas_2.5;negative;2;Z   U   N   T
30;pas_5;positive;16;B   O   R   F
30;pas_2.5;positive;13;K   L   E   M
