"acc","accuracy","adaptation_target","again","average_response_time","avg_rt","background","bidi","blocknr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_SPACE","correct_instruction_summary","correct_show_subject_nr","count_EC_blocks","count_EC_instruct","count_EC_instruct_1","count_EC_instruct_2","count_EC_instruct_3","count_EC_instruct_intro","count_EC_instruct_summary","count_EC_trial_seq","count_SPACE","count_Willkommen_1","count_adapt_cs_duration","count_adaptation_blocks","count_adaptation_save_script","count_adaptation_trial_seq","count_block_pause","count_def_present_gsync","count_demographics","count_demographics_save_script","count_ec_save_script","count_end_script","count_experiment","count_good_bye","count_instruct_pas_1_and_2","count_instruct_pas_3_and_4","count_instruct_pas_5_and_6","count_instruct_pas_overview","count_instruction_summary","count_new_logger","count_new_sequence","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_11","count_new_sketchpad_2_nw","count_new_sketchpad_4","count_new_sketchpad_5_nw","count_obj_vis_save_script","count_objective_visibility_blocks","count_objective_visibility_trial_seq","count_objvis_form","count_objvis_instructions_1","count_pas_form","count_pause","count_pause_after_wahrnehmungsphase","count_rating_blank","count_rating_block","count_rating_form","count_rating_instructions","count_rating_save_script","count_rating_sequence","count_repeat","count_set_duration","count_setup","count_show_subject_nr","count_singletrial","count_valence_focus","cs_filename","datetime","description","disable_garbage_collection","eval_rating","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","id_opt_1","id_opt_2","id_opt_3","id_opt_4","keyboard_backend","live_row","live_row_adaptation_blocks","logfile","mouse_backend","not_again","opensesame_codename","opensesame_version","opt_1","opt_2","opt_3","opt_4","pause","phase","postmask_filename","premask_filename","rather_neg","rather_pos","repeat_cycle","response","response_EC_instruct_1","response_EC_instruct_2","response_EC_instruct_3","response_EC_instruct_intro","response_EC_instruct_summary","response_SPACE","response_block_pause","response_good_bye","response_instruct_pas_1_and_2","response_instruct_pas_3_and_4","response_instruct_pas_5_and_6","response_instruct_pas_overview","response_instruction_summary","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_11","response_new_sketchpad_2_nw","response_new_sketchpad_4","response_new_sketchpad_5_nw","response_objvis_instructions_1","response_pause","response_pause_after_wahrnehmungsphase","response_rating_instructions","response_show_subject_nr","response_time","response_time_EC_instruct_1","response_time_EC_instruct_2","response_time_EC_instruct_3","response_time_EC_instruct_intro","response_time_EC_instruct_summary","response_time_SPACE","response_time_block_pause","response_time_good_bye","response_time_instruct_pas_1_and_2","response_time_instruct_pas_3_and_4","response_time_instruct_pas_5_and_6","response_time_instruct_pas_overview","response_time_instruction_summary","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_11","response_time_new_sketchpad_2_nw","response_time_new_sketchpad_4","response_time_new_sketchpad_5_nw","response_time_objvis_instructions_1","response_time_pause","response_time_pause_after_wahrnehmungsphase","response_time_rating_instructions","response_time_show_subject_nr","round_decimals","sampler_backend","sicher1_resp","sicher2_resp","sicher3_resp","sicher4_resp","sicher5_resp","sicher6_resp","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_EC_blocks","time_EC_instruct","time_EC_instruct_1","time_EC_instruct_2","time_EC_instruct_3","time_EC_instruct_intro","time_EC_instruct_summary","time_EC_trial_seq","time_SPACE","time_Willkommen_1","time_adapt_cs_duration","time_adaptation_blocks","time_adaptation_save_script","time_adaptation_trial_seq","time_block_pause","time_def_present_gsync","time_demographics","time_demographics_save_script","time_ec_save_script","time_end_script","time_experiment","time_good_bye","time_instruct_pas_1_and_2","time_instruct_pas_3_and_4","time_instruct_pas_5_and_6","time_instruct_pas_overview","time_instruction_summary","time_new_logger","time_new_sequence","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_11","time_new_sketchpad_2_nw","time_new_sketchpad_4","time_new_sketchpad_5_nw","time_obj_vis_save_script","time_objective_visibility_blocks","time_objective_visibility_trial_seq","time_objvis_form","time_objvis_instructions_1","time_pas_form","time_pause","time_pause_after_wahrnehmungsphase","time_rating_blank","time_rating_block","time_rating_form","time_rating_instructions","time_rating_save_script","time_rating_sequence","time_repeat","time_set_duration","time_setup","time_show_subject_nr","time_singletrial","time_valence_focus","title","total_correct","total_response_time","total_responses","transparent_variables","trialnr","unaufmerksam_resp","uniform_coordinates","us_filename","us_valence","width"
"undefined","undefined","pas_2","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","NA","0","0","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","0","0","0","NA","0","NA","0","NA","NA","NA","0","0","0","0","NA","K   N   E   G","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","0","0","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","69591.596","61146.919","69591.6563","61618.903","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","69591.864","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","63370.0743","NA","NA","NA","NA","NA","NA","NA","NA","NA","61619.1209001","8714.52379995","8777.76530001","61619.1446","NA","ecodap4","0","15312.3781","1","no","1","no","no","Bored pose 1.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","1","0","1","1","1","0","0","0","NA","0","0","0","0","0","0","NA","0","1","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","1","0","0","NA","0","NA","0","NA","NA","NA","1","0","0","1","NA","T   E   L   G","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","1","1","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","72751.9038001","61146.919","72751.9587","69930.424","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","72752.1652","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","71731.4662","NA","NA","NA","NA","NA","NA","NA","NA","NA","69930.6311","8714.52379995","8777.76530001","69930.6545","NA","ecodap4","0","15312.3781","1","no","2","no","no","Neutral pose 3.jpg","neutral","1920"
"undefined","undefined","pas_2","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","2","0","2","2","2","0","0","0","NA","0","0","0","0","0","0","NA","0","2","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","2","0","0","NA","0","NA","0","NA","NA","NA","2","0","0","2","NA","G   U   H   M","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","2","2","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","75429.9006","61146.919","75429.9562","72992.0986","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","75430.1374","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","74843.1463001","NA","NA","NA","NA","NA","NA","NA","NA","NA","72992.3109","8714.52379995","8777.76530001","72992.3344","NA","ecodap4","0","15312.3781","1","no","3","no","no","Roofing 3.jpg","neutral","1920"
"undefined","undefined","pas_2","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","3","0","3","3","3","0","0","0","NA","0","0","0","0","0","0","NA","0","3","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","3","0","0","NA","0","NA","0","NA","NA","NA","3","0","0","3","NA","T   U   L   M","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","3","3","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","78006.3866","61146.919","78006.4393","75660.8134001","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","78006.6266001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","77455.8628","NA","NA","NA","NA","NA","NA","NA","NA","NA","75661.0221","8714.52379995","8777.76530001","75661.0452","NA","ecodap4","0","15312.3781","1","no","4","no","no","Bed 1.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","4","0","4","4","4","0","0","0","NA","0","0","0","0","0","0","NA","0","4","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","4","0","0","NA","0","NA","0","NA","NA","NA","4","0","0","4","NA","K   U   L   G","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","4","4","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","80622.4737","61146.919","80622.5262","78248.0585","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","80622.7114","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","79985.0933","NA","NA","NA","NA","NA","NA","NA","NA","NA","78248.2682","8714.52379995","8777.76530001","78248.2919","NA","ecodap4","0","15312.3781","1","no","5","no","no","Pinecone 2.jpg","neutral","1920"
"undefined","undefined","pas_2","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","5","0","5","5","5","0","0","0","NA","0","0","0","0","0","0","NA","0","5","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","5","0","0","NA","0","NA","0","NA","NA","NA","5","0","0","5","NA","N   E   H   Z","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","5","5","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","83702.8966","61146.919","83702.9511","80870.7275999","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","83703.1409","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","82675.7788","NA","NA","NA","NA","NA","NA","NA","NA","NA","80870.9402001","8714.52379995","8777.76530001","80870.9645","NA","ecodap4","0","15312.3781","1","no","6","no","no","Cups 4.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","6","0","6","6","6","0","0","0","NA","0","0","0","0","0","0","NA","0","6","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","6","0","0","NA","0","NA","0","NA","NA","NA","6","0","0","6","NA","G   E   M   T","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte mehr als einen Buchstaben recht gut erkennen.","yes","1080","NA","NA","NA","NA","psycho","6","6","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","no","no","no","no","yes","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","87967.9943","61146.919","87968.1036","83932.4711","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","87968.3169","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","85725.5129","NA","NA","NA","NA","NA","NA","NA","NA","NA","83932.6838","8714.52379995","8777.76530001","83932.7071001","NA","ecodap4","0","15312.3781","1","no","7","no","no","Cardboard 2.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","7","0","7","7","7","0","0","0","NA","0","0","0","0","0","0","NA","0","7","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","7","0","0","NA","0","NA","0","NA","NA","NA","7","0","0","7","NA","Z   U   H   L","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte mehr als einen Buchstaben recht gut erkennen.","yes","1080","NA","NA","NA","NA","psycho","7","7","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","no","no","no","no","yes","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","90744.2724","61146.919","90744.3547","88239.9442","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","90744.5367","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","90032.9757","NA","NA","NA","NA","NA","NA","NA","NA","NA","88240.1544","8714.52379995","8777.76530001","88240.1778999","NA","ecodap4","0","15312.3781","1","no","8","no","no","Bark 5.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","8","0","8","8","8","0","0","0","NA","0","0","0","0","0","0","NA","0","8","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","8","0","0","NA","0","NA","0","NA","NA","NA","8","0","0","8","NA","K   U   L   G","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte das komplette Phantasiewort klar und deutlich wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","8","8","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","no","no","no","no","no","yes","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","93559.2121","61146.919","93559.3088","90980.3216","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","93559.4935","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","92773.3528001","NA","NA","NA","NA","NA","NA","NA","NA","NA","90980.5315","8714.52379995","8777.76530001","90980.5552","NA","ecodap4","0","15312.3781","1","no","9","no","no","Keyboard 2.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","15312.3781","15312.3781","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","9","0","9","9","9","0","0","0","NA","0","0","0","0","0","0","NA","0","9","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","9","0","0","NA","0","NA","0","NA","NA","NA","9","0","0","9","NA","G   E   M   T","03/03/22 08:41:49","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","9","9","C:\exp\ecodap4\logs\14.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12520.8288999","NA","NA","NA","NA","NA","15312.3781","NA","NA","NA","NA","NA","NA","12520.8288999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24496.7862","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","14","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","33306.1755","33305.7022","96511.3819001","61146.919","96511.435","93797.022","NA","8714.49479996","NA","NA","NA","NA","8713.64980005","NA","NA","NA","NA","NA","48625.7064","96511.6214","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","95534.0583","NA","NA","NA","NA","NA","NA","NA","NA","NA","93797.2303","8714.52379995","8777.76530001","93797.2539","NA","ecodap4","0","15312.3781","1","no","10","no","no","Roofing 4.jpg","neutral","1920"
