ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
87	6	1	Water	MereExp	171	labor2	2015-01-29_11.27.13.603000
87	4	2	Water	DisIAPS	171	labor2	2015-01-29_11.27.13.603000
87	3	3	Water	DisRaFD	171	labor2	2015-01-29_11.27.13.603000
87	1	4	Water	FeaRaFD	171	labor2	2015-01-29_11.27.13.603000
87	5	1	Water	MereExp	230	labor2	2015-01-29_11.27.13.603000
87	2	2	Water	DisIAPS	230	labor2	2015-01-29_11.27.13.603000
87	7	3	Water	FeaRaFD	230	labor2	2015-01-29_11.27.13.603000
87	8	4	Water	DisRaFD	230	labor2	2015-01-29_11.27.13.603000
87	1	1	Aero0	DisRaFD	171	labor2	2015-01-29_11.27.13.603000
87	4	2	Aero0	FeaRaFD	171	labor2	2015-01-29_11.27.13.603000
87	6	3	Aero0	MereExp	171	labor2	2015-01-29_11.27.13.603000
87	5	4	Aero0	DisIAPS	171	labor2	2015-01-29_11.27.13.603000
87	2	1	Aero0	FeaRaFD	230	labor2	2015-01-29_11.27.13.603000
87	8	2	Aero0	DisRaFD	230	labor2	2015-01-29_11.27.13.603000
87	3	3	Aero0	MereExp	230	labor2	2015-01-29_11.27.13.603000
87	7	4	Aero0	DisIAPS	230	labor2	2015-01-29_11.27.13.603000
