ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
62	3	1	Water	FeaRaFD	171	labor2	2015-01-27_15.48.41.550000
62	5	2	Water	DisIAPS	171	labor2	2015-01-27_15.48.41.550000
62	8	3	Water	MereExp	171	labor2	2015-01-27_15.48.41.550000
62	1	4	Water	DisRaFD	171	labor2	2015-01-27_15.48.41.550000
62	4	1	Water	DisIAPS	230	labor2	2015-01-27_15.48.41.550000
62	2	2	Water	FeaRaFD	230	labor2	2015-01-27_15.48.41.550000
62	6	3	Water	DisRaFD	230	labor2	2015-01-27_15.48.41.550000
62	7	4	Water	MereExp	230	labor2	2015-01-27_15.48.41.550000
62	2	1	Aero0	DisRaFD	171	labor2	2015-01-27_15.48.41.550000
62	7	2	Aero0	DisIAPS	171	labor2	2015-01-27_15.48.41.550000
62	5	3	Aero0	MereExp	171	labor2	2015-01-27_15.48.41.550000
62	8	4	Aero0	FeaRaFD	171	labor2	2015-01-27_15.48.41.550000
62	3	1	Aero0	FeaRaFD	230	labor2	2015-01-27_15.48.41.550000
62	4	2	Aero0	DisRaFD	230	labor2	2015-01-27_15.48.41.550000
62	6	3	Aero0	MereExp	230	labor2	2015-01-27_15.48.41.550000
62	1	4	Aero0	DisIAPS	230	labor2	2015-01-27_15.48.41.550000
