ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
74	7	1	Water	FeaRaFD	171	labor2	2015-01-28_13.00.00.929000
74	5	2	Water	DisRaFD	171	labor2	2015-01-28_13.00.00.929000
74	2	3	Water	MereExp	171	labor2	2015-01-28_13.00.00.929000
74	3	4	Water	DisIAPS	171	labor2	2015-01-28_13.00.00.929000
74	6	1	Water	MereExp	230	labor2	2015-01-28_13.00.00.929000
74	1	2	Water	FeaRaFD	230	labor2	2015-01-28_13.00.00.929000
74	4	3	Water	DisRaFD	230	labor2	2015-01-28_13.00.00.929000
74	8	4	Water	DisIAPS	230	labor2	2015-01-28_13.00.00.929000
74	7	1	Aero0	MereExp	171	labor2	2015-01-28_13.00.00.929000
74	8	2	Aero0	FeaRaFD	171	labor2	2015-01-28_13.00.00.929000
74	4	3	Aero0	DisIAPS	171	labor2	2015-01-28_13.00.00.929000
74	5	4	Aero0	DisRaFD	171	labor2	2015-01-28_13.00.00.929000
74	3	1	Aero0	MereExp	230	labor2	2015-01-28_13.00.00.929000
74	6	2	Aero0	DisRaFD	230	labor2	2015-01-28_13.00.00.929000
74	2	3	Aero0	FeaRaFD	230	labor2	2015-01-28_13.00.00.929000
74	1	4	Aero0	DisIAPS	230	labor2	2015-01-28_13.00.00.929000
