ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
131	2	1	Water	DisRaFD	171	labor4	2015-02-04_12.12.53.947000
131	5	2	Water	MereExp	171	labor4	2015-02-04_12.12.53.947000
131	4	3	Water	DisIAPS	171	labor4	2015-02-04_12.12.53.947000
131	1	4	Water	FeaRaFD	171	labor4	2015-02-04_12.12.53.947000
131	8	1	Water	MereExp	230	labor4	2015-02-04_12.12.53.947000
131	3	2	Water	DisRaFD	230	labor4	2015-02-04_12.12.53.947000
131	6	3	Water	FeaRaFD	230	labor4	2015-02-04_12.12.53.947000
131	7	4	Water	DisIAPS	230	labor4	2015-02-04_12.12.53.947000
131	8	1	Aero0	FeaRaFD	171	labor4	2015-02-04_12.12.53.947000
131	2	2	Aero0	DisRaFD	171	labor4	2015-02-04_12.12.53.947000
131	7	3	Aero0	MereExp	171	labor4	2015-02-04_12.12.53.947000
131	3	4	Aero0	DisIAPS	171	labor4	2015-02-04_12.12.53.947000
131	5	1	Aero0	MereExp	230	labor4	2015-02-04_12.12.53.947000
131	4	2	Aero0	FeaRaFD	230	labor4	2015-02-04_12.12.53.947000
131	1	3	Aero0	DisRaFD	230	labor4	2015-02-04_12.12.53.947000
131	6	4	Aero0	DisIAPS	230	labor4	2015-02-04_12.12.53.947000
