ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
6	1	1	Water	DisRaFD	171	labor6	2015-01-15_15.34.59.582000
6	2	2	Water	FeaRaFD	171	labor6	2015-01-15_15.34.59.582000
6	4	3	Water	DisIAPS	171	labor6	2015-01-15_15.34.59.582000
6	5	4	Water	MereExp	171	labor6	2015-01-15_15.34.59.582000
6	3	1	Water	FeaRaFD	230	labor6	2015-01-15_15.34.59.582000
6	7	2	Water	DisRaFD	230	labor6	2015-01-15_15.34.59.582000
6	6	3	Water	DisIAPS	230	labor6	2015-01-15_15.34.59.582000
6	8	4	Water	MereExp	230	labor6	2015-01-15_15.34.59.582000
6	3	1	Aero0	FeaRaFD	171	labor6	2015-01-15_15.34.59.582000
6	6	2	Aero0	DisRaFD	171	labor6	2015-01-15_15.34.59.582000
6	8	3	Aero0	DisIAPS	171	labor6	2015-01-15_15.34.59.582000
6	4	4	Aero0	MereExp	171	labor6	2015-01-15_15.34.59.582000
6	1	1	Aero0	FeaRaFD	230	labor6	2015-01-15_15.34.59.582000
6	2	2	Aero0	DisRaFD	230	labor6	2015-01-15_15.34.59.582000
6	7	3	Aero0	MereExp	230	labor6	2015-01-15_15.34.59.582000
6	5	4	Aero0	DisIAPS	230	labor6	2015-01-15_15.34.59.582000
