ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
54	4	1	Water	FeaRaFD	171	labor1	2015-01-27_09.47.59.341000
54	7	2	Water	DisRaFD	171	labor1	2015-01-27_09.47.59.341000
54	5	3	Water	DisIAPS	171	labor1	2015-01-27_09.47.59.341000
54	8	4	Water	MereExp	171	labor1	2015-01-27_09.47.59.341000
54	1	1	Water	MereExp	230	labor1	2015-01-27_09.47.59.341000
54	3	2	Water	FeaRaFD	230	labor1	2015-01-27_09.47.59.341000
54	6	3	Water	DisRaFD	230	labor1	2015-01-27_09.47.59.341000
54	2	4	Water	DisIAPS	230	labor1	2015-01-27_09.47.59.341000
54	1	1	Aero0	DisIAPS	171	labor1	2015-01-27_09.47.59.341000
54	4	2	Aero0	DisRaFD	171	labor1	2015-01-27_09.47.59.341000
54	7	3	Aero0	FeaRaFD	171	labor1	2015-01-27_09.47.59.341000
54	2	4	Aero0	MereExp	171	labor1	2015-01-27_09.47.59.341000
54	6	1	Aero0	MereExp	230	labor1	2015-01-27_09.47.59.341000
54	8	2	Aero0	DisRaFD	230	labor1	2015-01-27_09.47.59.341000
54	3	3	Aero0	FeaRaFD	230	labor1	2015-01-27_09.47.59.341000
54	5	4	Aero0	DisIAPS	230	labor1	2015-01-27_09.47.59.341000
