ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
88	4	1	Water	DisRaFD	171	labor4	2015-01-29_11.27.47.381000
88	5	2	Water	FeaRaFD	171	labor4	2015-01-29_11.27.47.381000
88	2	3	Water	MereExp	171	labor4	2015-01-29_11.27.47.381000
88	3	4	Water	DisIAPS	171	labor4	2015-01-29_11.27.47.381000
88	7	1	Water	MereExp	230	labor4	2015-01-29_11.27.47.381000
88	6	2	Water	DisRaFD	230	labor4	2015-01-29_11.27.47.381000
88	1	3	Water	DisIAPS	230	labor4	2015-01-29_11.27.47.381000
88	8	4	Water	FeaRaFD	230	labor4	2015-01-29_11.27.47.381000
88	5	1	Aero0	FeaRaFD	171	labor4	2015-01-29_11.27.47.381000
88	2	2	Aero0	DisIAPS	171	labor4	2015-01-29_11.27.47.381000
88	8	3	Aero0	MereExp	171	labor4	2015-01-29_11.27.47.381000
88	1	4	Aero0	DisRaFD	171	labor4	2015-01-29_11.27.47.381000
88	6	1	Aero0	DisIAPS	230	labor4	2015-01-29_11.27.47.381000
88	4	2	Aero0	DisRaFD	230	labor4	2015-01-29_11.27.47.381000
88	7	3	Aero0	FeaRaFD	230	labor4	2015-01-29_11.27.47.381000
88	3	4	Aero0	MereExp	230	labor4	2015-01-29_11.27.47.381000
