ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
29	2	1	Water	FeaRaFD	171	labor4	2015-01-21_12.19.04.531000
29	4	2	Water	MereExp	171	labor4	2015-01-21_12.19.04.531000
29	7	3	Water	DisRaFD	171	labor4	2015-01-21_12.19.04.531000
29	1	4	Water	DisIAPS	171	labor4	2015-01-21_12.19.04.531000
29	5	1	Water	DisRaFD	230	labor4	2015-01-21_12.19.04.531000
29	6	2	Water	MereExp	230	labor4	2015-01-21_12.19.04.531000
29	3	3	Water	FeaRaFD	230	labor4	2015-01-21_12.19.04.531000
29	8	4	Water	DisIAPS	230	labor4	2015-01-21_12.19.04.531000
29	4	1	Aero0	MereExp	171	labor4	2015-01-21_12.19.04.531000
29	7	2	Aero0	FeaRaFD	171	labor4	2015-01-21_12.19.04.531000
29	8	3	Aero0	DisRaFD	171	labor4	2015-01-21_12.19.04.531000
29	6	4	Aero0	DisIAPS	171	labor4	2015-01-21_12.19.04.531000
29	1	1	Aero0	DisRaFD	230	labor4	2015-01-21_12.19.04.531000
29	3	2	Aero0	MereExp	230	labor4	2015-01-21_12.19.04.531000
29	2	3	Aero0	FeaRaFD	230	labor4	2015-01-21_12.19.04.531000
29	5	4	Aero0	DisIAPS	230	labor4	2015-01-21_12.19.04.531000
