ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
33	4	1	Water	DisRaFD	171	labor2	2015-01-22_09.49.23.866000
33	8	2	Water	DisIAPS	171	labor2	2015-01-22_09.49.23.866000
33	7	3	Water	FeaRaFD	171	labor2	2015-01-22_09.49.23.866000
33	1	4	Water	MereExp	171	labor2	2015-01-22_09.49.23.866000
33	2	1	Water	DisRaFD	230	labor2	2015-01-22_09.49.23.866000
33	5	2	Water	MereExp	230	labor2	2015-01-22_09.49.23.866000
33	6	3	Water	FeaRaFD	230	labor2	2015-01-22_09.49.23.866000
33	3	4	Water	DisIAPS	230	labor2	2015-01-22_09.49.23.866000
33	3	1	Aero0	MereExp	171	labor2	2015-01-22_09.49.23.866000
33	7	2	Aero0	DisRaFD	171	labor2	2015-01-22_09.49.23.866000
33	8	3	Aero0	FeaRaFD	171	labor2	2015-01-22_09.49.23.866000
33	4	4	Aero0	DisIAPS	171	labor2	2015-01-22_09.49.23.866000
33	5	1	Aero0	FeaRaFD	230	labor2	2015-01-22_09.49.23.866000
33	2	2	Aero0	DisIAPS	230	labor2	2015-01-22_09.49.23.866000
33	6	3	Aero0	DisRaFD	230	labor2	2015-01-22_09.49.23.866000
33	1	4	Aero0	MereExp	230	labor2	2015-01-22_09.49.23.866000
