ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
121	3	1	Water	MereExp	171	labor5	2015-02-02_13.44.57.813000
121	5	2	Water	DisIAPS	171	labor5	2015-02-02_13.44.57.813000
121	6	3	Water	DisRaFD	171	labor5	2015-02-02_13.44.57.813000
121	4	4	Water	FeaRaFD	171	labor5	2015-02-02_13.44.57.813000
121	2	1	Water	MereExp	230	labor5	2015-02-02_13.44.57.813000
121	1	2	Water	DisIAPS	230	labor5	2015-02-02_13.44.57.813000
121	8	3	Water	DisRaFD	230	labor5	2015-02-02_13.44.57.813000
121	7	4	Water	FeaRaFD	230	labor5	2015-02-02_13.44.57.813000
121	3	1	Aero0	MereExp	171	labor5	2015-02-02_13.44.57.813000
121	5	2	Aero0	FeaRaFD	171	labor5	2015-02-02_13.44.57.813000
121	6	3	Aero0	DisIAPS	171	labor5	2015-02-02_13.44.57.813000
121	7	4	Aero0	DisRaFD	171	labor5	2015-02-02_13.44.57.813000
121	1	1	Aero0	DisIAPS	230	labor5	2015-02-02_13.44.57.813000
121	2	2	Aero0	MereExp	230	labor5	2015-02-02_13.44.57.813000
121	8	3	Aero0	DisRaFD	230	labor5	2015-02-02_13.44.57.813000
121	4	4	Aero0	FeaRaFD	230	labor5	2015-02-02_13.44.57.813000
