ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
85	1	1	Water	FeaRaFD	171	labor5	2015-01-29_11.26.20.598000
85	7	2	Water	DisRaFD	171	labor5	2015-01-29_11.26.20.598000
85	4	3	Water	MereExp	171	labor5	2015-01-29_11.26.20.598000
85	6	4	Water	DisIAPS	171	labor5	2015-01-29_11.26.20.598000
85	2	1	Water	MereExp	230	labor5	2015-01-29_11.26.20.598000
85	3	2	Water	DisRaFD	230	labor5	2015-01-29_11.26.20.598000
85	5	3	Water	FeaRaFD	230	labor5	2015-01-29_11.26.20.598000
85	8	4	Water	DisIAPS	230	labor5	2015-01-29_11.26.20.598000
85	1	1	Aero0	MereExp	171	labor5	2015-01-29_11.26.20.598000
85	8	2	Aero0	FeaRaFD	171	labor5	2015-01-29_11.26.20.598000
85	7	3	Aero0	DisRaFD	171	labor5	2015-01-29_11.26.20.598000
85	5	4	Aero0	DisIAPS	171	labor5	2015-01-29_11.26.20.598000
85	6	1	Aero0	DisRaFD	230	labor5	2015-01-29_11.26.20.598000
85	2	2	Aero0	MereExp	230	labor5	2015-01-29_11.26.20.598000
85	3	3	Aero0	FeaRaFD	230	labor5	2015-01-29_11.26.20.598000
85	4	4	Aero0	DisIAPS	230	labor5	2015-01-29_11.26.20.598000
