ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
53	8	1	Water	DisIAPS	171	labor8	2015-01-26_14.34.07.507000
53	6	2	Water	DisRaFD	171	labor8	2015-01-26_14.34.07.507000
53	7	3	Water	MereExp	171	labor8	2015-01-26_14.34.07.507000
53	4	4	Water	FeaRaFD	171	labor8	2015-01-26_14.34.07.507000
53	2	1	Water	MereExp	230	labor8	2015-01-26_14.34.07.507000
53	5	2	Water	DisRaFD	230	labor8	2015-01-26_14.34.07.507000
53	3	3	Water	DisIAPS	230	labor8	2015-01-26_14.34.07.507000
53	1	4	Water	FeaRaFD	230	labor8	2015-01-26_14.34.07.507000
53	1	1	Aero0	DisRaFD	171	labor8	2015-01-26_14.34.07.507000
53	5	2	Aero0	MereExp	171	labor8	2015-01-26_14.34.07.507000
53	7	3	Aero0	DisIAPS	171	labor8	2015-01-26_14.34.07.507000
53	4	4	Aero0	FeaRaFD	171	labor8	2015-01-26_14.34.07.507000
53	8	1	Aero0	MereExp	230	labor8	2015-01-26_14.34.07.507000
53	3	2	Aero0	DisIAPS	230	labor8	2015-01-26_14.34.07.507000
53	6	3	Aero0	FeaRaFD	230	labor8	2015-01-26_14.34.07.507000
53	2	4	Aero0	DisRaFD	230	labor8	2015-01-26_14.34.07.507000
