ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
40	5	1	Water	FeaRaFD	171	labor4	2015-01-22_14.14.42.884000
40	6	2	Water	DisIAPS	171	labor4	2015-01-22_14.14.42.884000
40	4	3	Water	MereExp	171	labor4	2015-01-22_14.14.42.884000
40	7	4	Water	DisRaFD	171	labor4	2015-01-22_14.14.42.884000
40	8	1	Water	MereExp	230	labor4	2015-01-22_14.14.42.884000
40	2	2	Water	FeaRaFD	230	labor4	2015-01-22_14.14.42.884000
40	1	3	Water	DisIAPS	230	labor4	2015-01-22_14.14.42.884000
40	3	4	Water	DisRaFD	230	labor4	2015-01-22_14.14.42.884000
40	4	1	Aero0	MereExp	171	labor4	2015-01-22_14.14.42.884000
40	5	2	Aero0	DisIAPS	171	labor4	2015-01-22_14.14.42.884000
40	8	3	Aero0	FeaRaFD	171	labor4	2015-01-22_14.14.42.884000
40	6	4	Aero0	DisRaFD	171	labor4	2015-01-22_14.14.42.884000
40	3	1	Aero0	DisIAPS	230	labor4	2015-01-22_14.14.42.884000
40	7	2	Aero0	FeaRaFD	230	labor4	2015-01-22_14.14.42.884000
40	2	3	Aero0	DisRaFD	230	labor4	2015-01-22_14.14.42.884000
40	1	4	Aero0	MereExp	230	labor4	2015-01-22_14.14.42.884000
