ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
108	3	1	Water	MereExp	171	labor6	2015-01-29_15.51.58.188000
108	1	2	Water	FeaRaFD	171	labor6	2015-01-29_15.51.58.188000
108	6	3	Water	DisIAPS	171	labor6	2015-01-29_15.51.58.188000
108	2	4	Water	DisRaFD	171	labor6	2015-01-29_15.51.58.188000
108	4	1	Water	FeaRaFD	230	labor6	2015-01-29_15.51.58.188000
108	5	2	Water	MereExp	230	labor6	2015-01-29_15.51.58.188000
108	7	3	Water	DisRaFD	230	labor6	2015-01-29_15.51.58.188000
108	8	4	Water	DisIAPS	230	labor6	2015-01-29_15.51.58.188000
108	5	1	Aero0	FeaRaFD	171	labor6	2015-01-29_15.51.58.188000
108	2	2	Aero0	DisRaFD	171	labor6	2015-01-29_15.51.58.188000
108	4	3	Aero0	DisIAPS	171	labor6	2015-01-29_15.51.58.188000
108	8	4	Aero0	MereExp	171	labor6	2015-01-29_15.51.58.188000
108	7	1	Aero0	DisIAPS	230	labor6	2015-01-29_15.51.58.188000
108	1	2	Aero0	FeaRaFD	230	labor6	2015-01-29_15.51.58.188000
108	6	3	Aero0	MereExp	230	labor6	2015-01-29_15.51.58.188000
108	3	4	Aero0	DisRaFD	230	labor6	2015-01-29_15.51.58.188000
