ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
93	2	1	Water	FeaRaFD	171	labor8	2015-01-29_13.17.55.469000
93	4	2	Water	DisRaFD	171	labor8	2015-01-29_13.17.55.469000
93	3	3	Water	MereExp	171	labor8	2015-01-29_13.17.55.469000
93	7	4	Water	DisIAPS	171	labor8	2015-01-29_13.17.55.469000
93	1	1	Water	FeaRaFD	230	labor8	2015-01-29_13.17.55.469000
93	8	2	Water	DisRaFD	230	labor8	2015-01-29_13.17.55.469000
93	5	3	Water	MereExp	230	labor8	2015-01-29_13.17.55.469000
93	6	4	Water	DisIAPS	230	labor8	2015-01-29_13.17.55.469000
93	5	1	Aero0	DisIAPS	171	labor8	2015-01-29_13.17.55.469000
93	3	2	Aero0	MereExp	171	labor8	2015-01-29_13.17.55.469000
93	7	3	Aero0	FeaRaFD	171	labor8	2015-01-29_13.17.55.469000
93	8	4	Aero0	DisRaFD	171	labor8	2015-01-29_13.17.55.469000
93	4	1	Aero0	FeaRaFD	230	labor8	2015-01-29_13.17.55.469000
93	1	2	Aero0	DisIAPS	230	labor8	2015-01-29_13.17.55.469000
93	2	3	Aero0	DisRaFD	230	labor8	2015-01-29_13.17.55.469000
93	6	4	Aero0	MereExp	230	labor8	2015-01-29_13.17.55.469000
