ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
79	8	1	Water	FeaRaFD	171	labor5	2015-01-29_09.04.23.669000
79	6	2	Water	DisIAPS	171	labor5	2015-01-29_09.04.23.669000
79	7	3	Water	DisRaFD	171	labor5	2015-01-29_09.04.23.669000
79	3	4	Water	MereExp	171	labor5	2015-01-29_09.04.23.669000
79	4	1	Water	FeaRaFD	230	labor5	2015-01-29_09.04.23.669000
79	1	2	Water	DisRaFD	230	labor5	2015-01-29_09.04.23.669000
79	2	3	Water	DisIAPS	230	labor5	2015-01-29_09.04.23.669000
79	5	4	Water	MereExp	230	labor5	2015-01-29_09.04.23.669000
79	1	1	Aero0	MereExp	171	labor5	2015-01-29_09.04.23.669000
79	6	2	Aero0	DisRaFD	171	labor5	2015-01-29_09.04.23.669000
79	2	3	Aero0	FeaRaFD	171	labor5	2015-01-29_09.04.23.669000
79	8	4	Aero0	DisIAPS	171	labor5	2015-01-29_09.04.23.669000
79	3	1	Aero0	MereExp	230	labor5	2015-01-29_09.04.23.669000
79	5	2	Aero0	DisIAPS	230	labor5	2015-01-29_09.04.23.669000
79	4	3	Aero0	FeaRaFD	230	labor5	2015-01-29_09.04.23.669000
79	7	4	Aero0	DisRaFD	230	labor5	2015-01-29_09.04.23.669000
