ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
51	3	1	Water	DisRaFD	171	labor5	2015-01-26_13.58.47.656000
51	7	2	Water	DisIAPS	171	labor5	2015-01-26_13.58.47.656000
51	6	3	Water	FeaRaFD	171	labor5	2015-01-26_13.58.47.656000
51	8	4	Water	MereExp	171	labor5	2015-01-26_13.58.47.656000
51	1	1	Water	DisRaFD	230	labor5	2015-01-26_13.58.47.656000
51	2	2	Water	MereExp	230	labor5	2015-01-26_13.58.47.656000
51	5	3	Water	FeaRaFD	230	labor5	2015-01-26_13.58.47.656000
51	4	4	Water	DisIAPS	230	labor5	2015-01-26_13.58.47.656000
51	6	1	Aero0	MereExp	171	labor5	2015-01-26_13.58.47.656000
51	8	2	Aero0	FeaRaFD	171	labor5	2015-01-26_13.58.47.656000
51	4	3	Aero0	DisIAPS	171	labor5	2015-01-26_13.58.47.656000
51	5	4	Aero0	DisRaFD	171	labor5	2015-01-26_13.58.47.656000
51	2	1	Aero0	MereExp	230	labor5	2015-01-26_13.58.47.656000
51	1	2	Aero0	DisRaFD	230	labor5	2015-01-26_13.58.47.656000
51	3	3	Aero0	DisIAPS	230	labor5	2015-01-26_13.58.47.656000
51	7	4	Aero0	FeaRaFD	230	labor5	2015-01-26_13.58.47.656000
