ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
28	3	1	Water	FeaRaFD	171	labor8	2015-01-21_12.23.13.161000
28	1	2	Water	DisRaFD	171	labor8	2015-01-21_12.23.13.161000
28	4	3	Water	DisIAPS	171	labor8	2015-01-21_12.23.13.161000
28	5	4	Water	MereExp	171	labor8	2015-01-21_12.23.13.161000
28	8	1	Water	DisIAPS	230	labor8	2015-01-21_12.23.13.161000
28	2	2	Water	DisRaFD	230	labor8	2015-01-21_12.23.13.161000
28	6	3	Water	MereExp	230	labor8	2015-01-21_12.23.13.161000
28	7	4	Water	FeaRaFD	230	labor8	2015-01-21_12.23.13.161000
28	6	1	Aero0	FeaRaFD	171	labor8	2015-01-21_12.23.13.161000
28	3	2	Aero0	DisIAPS	171	labor8	2015-01-21_12.23.13.161000
28	1	3	Aero0	MereExp	171	labor8	2015-01-21_12.23.13.161000
28	4	4	Aero0	DisRaFD	171	labor8	2015-01-21_12.23.13.161000
28	8	1	Aero0	FeaRaFD	230	labor8	2015-01-21_12.23.13.161000
28	2	2	Aero0	DisIAPS	230	labor8	2015-01-21_12.23.13.161000
28	7	3	Aero0	MereExp	230	labor8	2015-01-21_12.23.13.161000
28	5	4	Aero0	DisRaFD	230	labor8	2015-01-21_12.23.13.161000
