ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
106	5	1	Water	DisIAPS	171	labor2	2015-01-29_15.50.42.577000
106	4	2	Water	DisRaFD	171	labor2	2015-01-29_15.50.42.577000
106	8	3	Water	FeaRaFD	171	labor2	2015-01-29_15.50.42.577000
106	7	4	Water	MereExp	171	labor2	2015-01-29_15.50.42.577000
106	2	1	Water	MereExp	230	labor2	2015-01-29_15.50.42.577000
106	1	2	Water	DisRaFD	230	labor2	2015-01-29_15.50.42.577000
106	6	3	Water	FeaRaFD	230	labor2	2015-01-29_15.50.42.577000
106	3	4	Water	DisIAPS	230	labor2	2015-01-29_15.50.42.577000
106	6	1	Aero0	MereExp	171	labor2	2015-01-29_15.50.42.577000
106	8	2	Aero0	DisIAPS	171	labor2	2015-01-29_15.50.42.577000
106	2	3	Aero0	DisRaFD	171	labor2	2015-01-29_15.50.42.577000
106	4	4	Aero0	FeaRaFD	171	labor2	2015-01-29_15.50.42.577000
106	1	1	Aero0	MereExp	230	labor2	2015-01-29_15.50.42.577000
106	3	2	Aero0	DisIAPS	230	labor2	2015-01-29_15.50.42.577000
106	7	3	Aero0	DisRaFD	230	labor2	2015-01-29_15.50.42.577000
106	5	4	Aero0	FeaRaFD	230	labor2	2015-01-29_15.50.42.577000
