ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
138	2	1	Water	MereExp	171	labor5	2015-02-05_15.45.00.568000
138	6	2	Water	FeaRaFD	171	labor5	2015-02-05_15.45.00.568000
138	8	3	Water	DisRaFD	171	labor5	2015-02-05_15.45.00.568000
138	7	4	Water	DisIAPS	171	labor5	2015-02-05_15.45.00.568000
138	1	1	Water	FeaRaFD	230	labor5	2015-02-05_15.45.00.568000
138	5	2	Water	DisIAPS	230	labor5	2015-02-05_15.45.00.568000
138	4	3	Water	MereExp	230	labor5	2015-02-05_15.45.00.568000
138	3	4	Water	DisRaFD	230	labor5	2015-02-05_15.45.00.568000
138	5	1	Aero0	FeaRaFD	171	labor5	2015-02-05_15.45.00.568000
138	4	2	Aero0	DisRaFD	171	labor5	2015-02-05_15.45.00.568000
138	2	3	Aero0	DisIAPS	171	labor5	2015-02-05_15.45.00.568000
138	8	4	Aero0	MereExp	171	labor5	2015-02-05_15.45.00.568000
138	7	1	Aero0	DisIAPS	230	labor5	2015-02-05_15.45.00.568000
138	3	2	Aero0	FeaRaFD	230	labor5	2015-02-05_15.45.00.568000
138	6	3	Aero0	MereExp	230	labor5	2015-02-05_15.45.00.568000
138	1	4	Aero0	DisRaFD	230	labor5	2015-02-05_15.45.00.568000
