ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
39	6	1	Water	MereExp	171	labor2	2015-01-22_14.14.47.438000
39	4	2	Water	FeaRaFD	171	labor2	2015-01-22_14.14.47.438000
39	5	3	Water	DisRaFD	171	labor2	2015-01-22_14.14.47.438000
39	7	4	Water	DisIAPS	171	labor2	2015-01-22_14.14.47.438000
39	8	1	Water	FeaRaFD	230	labor2	2015-01-22_14.14.47.438000
39	2	2	Water	MereExp	230	labor2	2015-01-22_14.14.47.438000
39	3	3	Water	DisIAPS	230	labor2	2015-01-22_14.14.47.438000
39	1	4	Water	DisRaFD	230	labor2	2015-01-22_14.14.47.438000
39	8	1	Aero0	FeaRaFD	171	labor2	2015-01-22_14.14.47.438000
39	6	2	Aero0	DisIAPS	171	labor2	2015-01-22_14.14.47.438000
39	1	3	Aero0	MereExp	171	labor2	2015-01-22_14.14.47.438000
39	5	4	Aero0	DisRaFD	171	labor2	2015-01-22_14.14.47.438000
39	3	1	Aero0	MereExp	230	labor2	2015-01-22_14.14.47.438000
39	7	2	Aero0	DisIAPS	230	labor2	2015-01-22_14.14.47.438000
39	4	3	Aero0	FeaRaFD	230	labor2	2015-01-22_14.14.47.438000
39	2	4	Aero0	DisRaFD	230	labor2	2015-01-22_14.14.47.438000
