ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
60	1	1	Water	MereExp	171	labor4	2015-01-27_15.41.40.376000
60	2	2	Water	FeaRaFD	171	labor4	2015-01-27_15.41.40.376000
60	6	3	Water	DisRaFD	171	labor4	2015-01-27_15.41.40.376000
60	4	4	Water	DisIAPS	171	labor4	2015-01-27_15.41.40.376000
60	5	1	Water	MereExp	230	labor4	2015-01-27_15.41.40.376000
60	7	2	Water	DisIAPS	230	labor4	2015-01-27_15.41.40.376000
60	3	3	Water	FeaRaFD	230	labor4	2015-01-27_15.41.40.376000
60	8	4	Water	DisRaFD	230	labor4	2015-01-27_15.41.40.376000
60	1	1	Aero0	FeaRaFD	171	labor4	2015-01-27_15.41.40.376000
60	3	2	Aero0	DisIAPS	171	labor4	2015-01-27_15.41.40.376000
60	5	3	Aero0	MereExp	171	labor4	2015-01-27_15.41.40.376000
60	8	4	Aero0	DisRaFD	171	labor4	2015-01-27_15.41.40.376000
60	4	1	Aero0	DisIAPS	230	labor4	2015-01-27_15.41.40.376000
60	6	2	Aero0	FeaRaFD	230	labor4	2015-01-27_15.41.40.376000
60	2	3	Aero0	DisRaFD	230	labor4	2015-01-27_15.41.40.376000
60	7	4	Aero0	MereExp	230	labor4	2015-01-27_15.41.40.376000
