ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
103	3	1	Water	DisIAPS	171	labor8	2015-01-29_15.10.12.270000
103	6	2	Water	DisRaFD	171	labor8	2015-01-29_15.10.12.270000
103	7	3	Water	FeaRaFD	171	labor8	2015-01-29_15.10.12.270000
103	5	4	Water	MereExp	171	labor8	2015-01-29_15.10.12.270000
103	4	1	Water	FeaRaFD	230	labor8	2015-01-29_15.10.12.270000
103	2	2	Water	MereExp	230	labor8	2015-01-29_15.10.12.270000
103	1	3	Water	DisIAPS	230	labor8	2015-01-29_15.10.12.270000
103	8	4	Water	DisRaFD	230	labor8	2015-01-29_15.10.12.270000
103	1	1	Aero0	MereExp	171	labor8	2015-01-29_15.10.12.270000
103	8	2	Aero0	DisIAPS	171	labor8	2015-01-29_15.10.12.270000
103	7	3	Aero0	DisRaFD	171	labor8	2015-01-29_15.10.12.270000
103	4	4	Aero0	FeaRaFD	171	labor8	2015-01-29_15.10.12.270000
103	5	1	Aero0	DisIAPS	230	labor8	2015-01-29_15.10.12.270000
103	2	2	Aero0	MereExp	230	labor8	2015-01-29_15.10.12.270000
103	3	3	Aero0	FeaRaFD	230	labor8	2015-01-29_15.10.12.270000
103	6	4	Aero0	DisRaFD	230	labor8	2015-01-29_15.10.12.270000
