ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
111	3	1	Water	MereExp	171	labor8	2015-01-30_10.55.24.778000
111	6	2	Water	DisRaFD	171	labor8	2015-01-30_10.55.24.778000
111	2	3	Water	DisIAPS	171	labor8	2015-01-30_10.55.24.778000
111	5	4	Water	FeaRaFD	171	labor8	2015-01-30_10.55.24.778000
111	1	1	Water	DisRaFD	230	labor8	2015-01-30_10.55.24.778000
111	8	2	Water	MereExp	230	labor8	2015-01-30_10.55.24.778000
111	4	3	Water	FeaRaFD	230	labor8	2015-01-30_10.55.24.778000
111	7	4	Water	DisIAPS	230	labor8	2015-01-30_10.55.24.778000
111	7	1	Aero0	FeaRaFD	171	labor8	2015-01-30_10.55.24.778000
111	3	2	Aero0	DisIAPS	171	labor8	2015-01-30_10.55.24.778000
111	6	3	Aero0	DisRaFD	171	labor8	2015-01-30_10.55.24.778000
111	8	4	Aero0	MereExp	171	labor8	2015-01-30_10.55.24.778000
111	4	1	Aero0	MereExp	230	labor8	2015-01-30_10.55.24.778000
111	5	2	Aero0	FeaRaFD	230	labor8	2015-01-30_10.55.24.778000
111	1	3	Aero0	DisRaFD	230	labor8	2015-01-30_10.55.24.778000
111	2	4	Aero0	DisIAPS	230	labor8	2015-01-30_10.55.24.778000
