ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
107	4	1	Water	DisRaFD	171	labor8	2015-01-29_15.51.57.369000
107	8	2	Water	DisIAPS	171	labor8	2015-01-29_15.51.57.369000
107	5	3	Water	MereExp	171	labor8	2015-01-29_15.51.57.369000
107	3	4	Water	FeaRaFD	171	labor8	2015-01-29_15.51.57.369000
107	2	1	Water	MereExp	230	labor8	2015-01-29_15.51.57.369000
107	7	2	Water	FeaRaFD	230	labor8	2015-01-29_15.51.57.369000
107	1	3	Water	DisRaFD	230	labor8	2015-01-29_15.51.57.369000
107	6	4	Water	DisIAPS	230	labor8	2015-01-29_15.51.57.369000
107	3	1	Aero0	DisIAPS	171	labor8	2015-01-29_15.51.57.369000
107	1	2	Aero0	FeaRaFD	171	labor8	2015-01-29_15.51.57.369000
107	2	3	Aero0	MereExp	171	labor8	2015-01-29_15.51.57.369000
107	7	4	Aero0	DisRaFD	171	labor8	2015-01-29_15.51.57.369000
107	6	1	Aero0	MereExp	230	labor8	2015-01-29_15.51.57.369000
107	8	2	Aero0	DisRaFD	230	labor8	2015-01-29_15.51.57.369000
107	5	3	Aero0	FeaRaFD	230	labor8	2015-01-29_15.51.57.369000
107	4	4	Aero0	DisIAPS	230	labor8	2015-01-29_15.51.57.369000
