ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
110	2	1	Water	MereExp	171	labor4	2015-01-30_10.48.39.771000
110	3	2	Water	DisIAPS	171	labor4	2015-01-30_10.48.39.771000
110	6	3	Water	FeaRaFD	171	labor4	2015-01-30_10.48.39.771000
110	5	4	Water	DisRaFD	171	labor4	2015-01-30_10.48.39.771000
110	1	1	Water	DisIAPS	230	labor4	2015-01-30_10.48.39.771000
110	4	2	Water	FeaRaFD	230	labor4	2015-01-30_10.48.39.771000
110	8	3	Water	DisRaFD	230	labor4	2015-01-30_10.48.39.771000
110	7	4	Water	MereExp	230	labor4	2015-01-30_10.48.39.771000
110	1	1	Aero0	DisRaFD	171	labor4	2015-01-30_10.48.39.771000
110	6	2	Aero0	FeaRaFD	171	labor4	2015-01-30_10.48.39.771000
110	3	3	Aero0	DisIAPS	171	labor4	2015-01-30_10.48.39.771000
110	2	4	Aero0	MereExp	171	labor4	2015-01-30_10.48.39.771000
110	7	1	Aero0	FeaRaFD	230	labor4	2015-01-30_10.48.39.771000
110	8	2	Aero0	DisIAPS	230	labor4	2015-01-30_10.48.39.771000
110	5	3	Aero0	DisRaFD	230	labor4	2015-01-30_10.48.39.771000
110	4	4	Aero0	MereExp	230	labor4	2015-01-30_10.48.39.771000
