ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
69	3	1	Water	FeaRaFD	171	labor5	2015-01-28_12.21.22.282000
69	2	2	Water	MereExp	171	labor5	2015-01-28_12.21.22.282000
69	4	3	Water	DisIAPS	171	labor5	2015-01-28_12.21.22.282000
69	5	4	Water	DisRaFD	171	labor5	2015-01-28_12.21.22.282000
69	1	1	Water	DisRaFD	230	labor5	2015-01-28_12.21.22.282000
69	6	2	Water	MereExp	230	labor5	2015-01-28_12.21.22.282000
69	7	3	Water	FeaRaFD	230	labor5	2015-01-28_12.21.22.282000
69	8	4	Water	DisIAPS	230	labor5	2015-01-28_12.21.22.282000
69	3	1	Aero0	DisRaFD	171	labor5	2015-01-28_12.21.22.282000
69	2	2	Aero0	MereExp	171	labor5	2015-01-28_12.21.22.282000
69	4	3	Aero0	DisIAPS	171	labor5	2015-01-28_12.21.22.282000
69	7	4	Aero0	FeaRaFD	171	labor5	2015-01-28_12.21.22.282000
69	1	1	Aero0	MereExp	230	labor5	2015-01-28_12.21.22.282000
69	5	2	Aero0	DisRaFD	230	labor5	2015-01-28_12.21.22.282000
69	8	3	Aero0	FeaRaFD	230	labor5	2015-01-28_12.21.22.282000
69	6	4	Aero0	DisIAPS	230	labor5	2015-01-28_12.21.22.282000
