ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
32	3	1	Water	FeaRaFD	171	labor1	2015-01-21_13.02.52.088000
32	6	2	Water	DisIAPS	171	labor1	2015-01-21_13.02.52.088000
32	5	3	Water	DisRaFD	171	labor1	2015-01-21_13.02.52.088000
32	2	4	Water	MereExp	171	labor1	2015-01-21_13.02.52.088000
32	8	1	Water	DisIAPS	230	labor1	2015-01-21_13.02.52.088000
32	4	2	Water	DisRaFD	230	labor1	2015-01-21_13.02.52.088000
32	7	3	Water	FeaRaFD	230	labor1	2015-01-21_13.02.52.088000
32	1	4	Water	MereExp	230	labor1	2015-01-21_13.02.52.088000
32	8	1	Aero0	DisIAPS	171	labor1	2015-01-21_13.02.52.088000
32	1	2	Aero0	FeaRaFD	171	labor1	2015-01-21_13.02.52.088000
32	4	3	Aero0	DisRaFD	171	labor1	2015-01-21_13.02.52.088000
32	5	4	Aero0	MereExp	171	labor1	2015-01-21_13.02.52.088000
32	3	1	Aero0	MereExp	230	labor1	2015-01-21_13.02.52.088000
32	2	2	Aero0	DisRaFD	230	labor1	2015-01-21_13.02.52.088000
32	7	3	Aero0	FeaRaFD	230	labor1	2015-01-21_13.02.52.088000
32	6	4	Aero0	DisIAPS	230	labor1	2015-01-21_13.02.52.088000
