ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
104	2	1	Water	DisIAPS	171	labor4	2015-01-29_15.42.17.874000
104	3	2	Water	DisRaFD	171	labor4	2015-01-29_15.42.17.874000
104	1	3	Water	FeaRaFD	171	labor4	2015-01-29_15.42.17.874000
104	5	4	Water	MereExp	171	labor4	2015-01-29_15.42.17.874000
104	7	1	Water	FeaRaFD	230	labor4	2015-01-29_15.42.17.874000
104	6	2	Water	MereExp	230	labor4	2015-01-29_15.42.17.874000
104	4	3	Water	DisIAPS	230	labor4	2015-01-29_15.42.17.874000
104	8	4	Water	DisRaFD	230	labor4	2015-01-29_15.42.17.874000
104	6	1	Aero0	DisRaFD	171	labor4	2015-01-29_15.42.17.874000
104	3	2	Aero0	FeaRaFD	171	labor4	2015-01-29_15.42.17.874000
104	2	3	Aero0	MereExp	171	labor4	2015-01-29_15.42.17.874000
104	7	4	Aero0	DisIAPS	171	labor4	2015-01-29_15.42.17.874000
104	5	1	Aero0	MereExp	230	labor4	2015-01-29_15.42.17.874000
104	8	2	Aero0	DisRaFD	230	labor4	2015-01-29_15.42.17.874000
104	1	3	Aero0	FeaRaFD	230	labor4	2015-01-29_15.42.17.874000
104	4	4	Aero0	DisIAPS	230	labor4	2015-01-29_15.42.17.874000
