ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
141	4	1	Water	FeaRaFD	171	labor5	2015-02-09_10.46.56.809000
141	3	2	Water	DisIAPS	171	labor5	2015-02-09_10.46.56.809000
141	8	3	Water	DisRaFD	171	labor5	2015-02-09_10.46.56.809000
141	2	4	Water	MereExp	171	labor5	2015-02-09_10.46.56.809000
141	6	1	Water	FeaRaFD	230	labor5	2015-02-09_10.46.56.809000
141	7	2	Water	DisRaFD	230	labor5	2015-02-09_10.46.56.809000
141	1	3	Water	MereExp	230	labor5	2015-02-09_10.46.56.809000
141	5	4	Water	DisIAPS	230	labor5	2015-02-09_10.46.56.809000
141	4	1	Aero0	DisRaFD	171	labor5	2015-02-09_10.46.56.809000
141	3	2	Aero0	FeaRaFD	171	labor5	2015-02-09_10.46.56.809000
141	6	3	Aero0	DisIAPS	171	labor5	2015-02-09_10.46.56.809000
141	5	4	Aero0	MereExp	171	labor5	2015-02-09_10.46.56.809000
141	1	1	Aero0	MereExp	230	labor5	2015-02-09_10.46.56.809000
141	7	2	Aero0	DisIAPS	230	labor5	2015-02-09_10.46.56.809000
141	8	3	Aero0	DisRaFD	230	labor5	2015-02-09_10.46.56.809000
141	2	4	Aero0	FeaRaFD	230	labor5	2015-02-09_10.46.56.809000
