ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
125	2	1	Water	DisRaFD	171	labor5	2015-02-03_11.52.58.058000
125	5	2	Water	FeaRaFD	171	labor5	2015-02-03_11.52.58.058000
125	1	3	Water	MereExp	171	labor5	2015-02-03_11.52.58.058000
125	7	4	Water	DisIAPS	171	labor5	2015-02-03_11.52.58.058000
125	6	1	Water	FeaRaFD	230	labor5	2015-02-03_11.52.58.058000
125	4	2	Water	MereExp	230	labor5	2015-02-03_11.52.58.058000
125	3	3	Water	DisRaFD	230	labor5	2015-02-03_11.52.58.058000
125	8	4	Water	DisIAPS	230	labor5	2015-02-03_11.52.58.058000
125	5	1	Aero0	MereExp	171	labor5	2015-02-03_11.52.58.058000
125	6	2	Aero0	DisIAPS	171	labor5	2015-02-03_11.52.58.058000
125	1	3	Aero0	FeaRaFD	171	labor5	2015-02-03_11.52.58.058000
125	2	4	Aero0	DisRaFD	171	labor5	2015-02-03_11.52.58.058000
125	8	1	Aero0	FeaRaFD	230	labor5	2015-02-03_11.52.58.058000
125	7	2	Aero0	DisRaFD	230	labor5	2015-02-03_11.52.58.058000
125	3	3	Aero0	MereExp	230	labor5	2015-02-03_11.52.58.058000
125	4	4	Aero0	DisIAPS	230	labor5	2015-02-03_11.52.58.058000
