ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
4	1	1	Water	FeaRaFD	171	labor2	2015-01-15_15.33.48.600000
4	3	2	Water	MereExp	171	labor2	2015-01-15_15.33.48.600000
4	4	3	Water	DisIAPS	171	labor2	2015-01-15_15.33.48.600000
4	7	4	Water	DisRaFD	171	labor2	2015-01-15_15.33.48.600000
4	6	1	Water	FeaRaFD	230	labor2	2015-01-15_15.33.48.600000
4	2	2	Water	DisRaFD	230	labor2	2015-01-15_15.33.48.600000
4	8	3	Water	DisIAPS	230	labor2	2015-01-15_15.33.48.600000
4	5	4	Water	MereExp	230	labor2	2015-01-15_15.33.48.600000
4	3	1	Aero0	FeaRaFD	171	labor2	2015-01-15_15.33.48.600000
4	7	2	Aero0	DisRaFD	171	labor2	2015-01-15_15.33.48.600000
4	2	3	Aero0	MereExp	171	labor2	2015-01-15_15.33.48.600000
4	6	4	Aero0	DisIAPS	171	labor2	2015-01-15_15.33.48.600000
4	1	1	Aero0	FeaRaFD	230	labor2	2015-01-15_15.33.48.600000
4	4	2	Aero0	DisRaFD	230	labor2	2015-01-15_15.33.48.600000
4	5	3	Aero0	MereExp	230	labor2	2015-01-15_15.33.48.600000
4	8	4	Aero0	DisIAPS	230	labor2	2015-01-15_15.33.48.600000
