ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
96	7	1	Water	DisIAPS	171	labor2	2015-01-29_14.21.51.798000
96	5	2	Water	MereExp	171	labor2	2015-01-29_14.21.51.798000
96	8	3	Water	FeaRaFD	171	labor2	2015-01-29_14.21.51.798000
96	2	4	Water	DisRaFD	171	labor2	2015-01-29_14.21.51.798000
96	6	1	Water	MereExp	230	labor2	2015-01-29_14.21.51.798000
96	4	2	Water	DisIAPS	230	labor2	2015-01-29_14.21.51.798000
96	1	3	Water	FeaRaFD	230	labor2	2015-01-29_14.21.51.798000
96	3	4	Water	DisRaFD	230	labor2	2015-01-29_14.21.51.798000
96	2	1	Aero0	DisRaFD	171	labor2	2015-01-29_14.21.51.798000
96	4	2	Aero0	DisIAPS	171	labor2	2015-01-29_14.21.51.798000
96	1	3	Aero0	FeaRaFD	171	labor2	2015-01-29_14.21.51.798000
96	7	4	Aero0	MereExp	171	labor2	2015-01-29_14.21.51.798000
96	3	1	Aero0	MereExp	230	labor2	2015-01-29_14.21.51.798000
96	6	2	Aero0	DisIAPS	230	labor2	2015-01-29_14.21.51.798000
96	5	3	Aero0	DisRaFD	230	labor2	2015-01-29_14.21.51.798000
96	8	4	Aero0	FeaRaFD	230	labor2	2015-01-29_14.21.51.798000
