ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
63	3	1	Water	FeaRaFD	171	labor5	2015-01-28_10.02.28.295000
63	2	2	Water	MereExp	171	labor5	2015-01-28_10.02.28.295000
63	8	3	Water	DisRaFD	171	labor5	2015-01-28_10.02.28.295000
63	6	4	Water	DisIAPS	171	labor5	2015-01-28_10.02.28.295000
63	5	1	Water	DisRaFD	230	labor5	2015-01-28_10.02.28.295000
63	1	2	Water	MereExp	230	labor5	2015-01-28_10.02.28.295000
63	4	3	Water	DisIAPS	230	labor5	2015-01-28_10.02.28.295000
63	7	4	Water	FeaRaFD	230	labor5	2015-01-28_10.02.28.295000
63	3	1	Aero0	MereExp	171	labor5	2015-01-28_10.02.28.295000
63	2	2	Aero0	DisRaFD	171	labor5	2015-01-28_10.02.28.295000
63	5	3	Aero0	FeaRaFD	171	labor5	2015-01-28_10.02.28.295000
63	7	4	Aero0	DisIAPS	171	labor5	2015-01-28_10.02.28.295000
63	6	1	Aero0	DisRaFD	230	labor5	2015-01-28_10.02.28.295000
63	4	2	Aero0	DisIAPS	230	labor5	2015-01-28_10.02.28.295000
63	8	3	Aero0	MereExp	230	labor5	2015-01-28_10.02.28.295000
63	1	4	Aero0	FeaRaFD	230	labor5	2015-01-28_10.02.28.295000
