ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
11	6	1	Water	MereExp	171	labor4	2015-01-20_09.43.41.537000
11	5	2	Water	DisIAPS	171	labor4	2015-01-20_09.43.41.537000
11	3	3	Water	DisRaFD	171	labor4	2015-01-20_09.43.41.537000
11	7	4	Water	FeaRaFD	171	labor4	2015-01-20_09.43.41.537000
11	2	1	Water	MereExp	230	labor4	2015-01-20_09.43.41.537000
11	4	2	Water	FeaRaFD	230	labor4	2015-01-20_09.43.41.537000
11	8	3	Water	DisRaFD	230	labor4	2015-01-20_09.43.41.537000
11	1	4	Water	DisIAPS	230	labor4	2015-01-20_09.43.41.537000
11	1	1	Aero0	FeaRaFD	171	labor4	2015-01-20_09.43.41.537000
11	4	2	Aero0	DisRaFD	171	labor4	2015-01-20_09.43.41.537000
11	5	3	Aero0	MereExp	171	labor4	2015-01-20_09.43.41.537000
11	8	4	Aero0	DisIAPS	171	labor4	2015-01-20_09.43.41.537000
11	2	1	Aero0	FeaRaFD	230	labor4	2015-01-20_09.43.41.537000
11	7	2	Aero0	DisIAPS	230	labor4	2015-01-20_09.43.41.537000
11	3	3	Aero0	DisRaFD	230	labor4	2015-01-20_09.43.41.537000
11	6	4	Aero0	MereExp	230	labor4	2015-01-20_09.43.41.537000
