ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
76	6	1	Water	DisRaFD	171	labor5	2015-01-28_15.25.53.237000
76	3	2	Water	DisIAPS	171	labor5	2015-01-28_15.25.53.237000
76	8	3	Water	MereExp	171	labor5	2015-01-28_15.25.53.237000
76	1	4	Water	FeaRaFD	171	labor5	2015-01-28_15.25.53.237000
76	2	1	Water	MereExp	230	labor5	2015-01-28_15.25.53.237000
76	4	2	Water	DisRaFD	230	labor5	2015-01-28_15.25.53.237000
76	5	3	Water	DisIAPS	230	labor5	2015-01-28_15.25.53.237000
76	7	4	Water	FeaRaFD	230	labor5	2015-01-28_15.25.53.237000
76	4	1	Aero0	MereExp	171	labor5	2015-01-28_15.25.53.237000
76	1	2	Aero0	DisRaFD	171	labor5	2015-01-28_15.25.53.237000
76	2	3	Aero0	FeaRaFD	171	labor5	2015-01-28_15.25.53.237000
76	8	4	Aero0	DisIAPS	171	labor5	2015-01-28_15.25.53.237000
76	7	1	Aero0	MereExp	230	labor5	2015-01-28_15.25.53.237000
76	3	2	Aero0	FeaRaFD	230	labor5	2015-01-28_15.25.53.237000
76	5	3	Aero0	DisIAPS	230	labor5	2015-01-28_15.25.53.237000
76	6	4	Aero0	DisRaFD	230	labor5	2015-01-28_15.25.53.237000
