ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
75	7	1	Water	DisRaFD	171	labor5	2015-01-28_13.00.54.250000
75	1	2	Water	FeaRaFD	171	labor5	2015-01-28_13.00.54.250000
75	3	3	Water	MereExp	171	labor5	2015-01-28_13.00.54.250000
75	8	4	Water	DisIAPS	171	labor5	2015-01-28_13.00.54.250000
75	4	1	Water	MereExp	230	labor5	2015-01-28_13.00.54.250000
75	5	2	Water	FeaRaFD	230	labor5	2015-01-28_13.00.54.250000
75	2	3	Water	DisRaFD	230	labor5	2015-01-28_13.00.54.250000
75	6	4	Water	DisIAPS	230	labor5	2015-01-28_13.00.54.250000
75	5	1	Aero0	DisIAPS	171	labor5	2015-01-28_13.00.54.250000
75	8	2	Aero0	DisRaFD	171	labor5	2015-01-28_13.00.54.250000
75	4	3	Aero0	FeaRaFD	171	labor5	2015-01-28_13.00.54.250000
75	6	4	Aero0	MereExp	171	labor5	2015-01-28_13.00.54.250000
75	1	1	Aero0	FeaRaFD	230	labor5	2015-01-28_13.00.54.250000
75	3	2	Aero0	DisRaFD	230	labor5	2015-01-28_13.00.54.250000
75	7	3	Aero0	DisIAPS	230	labor5	2015-01-28_13.00.54.250000
75	2	4	Aero0	MereExp	230	labor5	2015-01-28_13.00.54.250000
