ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
25	6	1	Water	FeaRaFD	171	labor4	2015-01-21_10.39.50.094000
25	2	2	Water	DisRaFD	171	labor4	2015-01-21_10.39.50.094000
25	8	3	Water	MereExp	171	labor4	2015-01-21_10.39.50.094000
25	1	4	Water	DisIAPS	171	labor4	2015-01-21_10.39.50.094000
25	4	1	Water	MereExp	230	labor4	2015-01-21_10.39.50.094000
25	7	2	Water	FeaRaFD	230	labor4	2015-01-21_10.39.50.094000
25	3	3	Water	DisRaFD	230	labor4	2015-01-21_10.39.50.094000
25	5	4	Water	DisIAPS	230	labor4	2015-01-21_10.39.50.094000
25	2	1	Aero0	MereExp	171	labor4	2015-01-21_10.39.50.094000
25	8	2	Aero0	DisIAPS	171	labor4	2015-01-21_10.39.50.094000
25	6	3	Aero0	DisRaFD	171	labor4	2015-01-21_10.39.50.094000
25	1	4	Aero0	FeaRaFD	171	labor4	2015-01-21_10.39.50.094000
25	4	1	Aero0	DisIAPS	230	labor4	2015-01-21_10.39.50.094000
25	3	2	Aero0	FeaRaFD	230	labor4	2015-01-21_10.39.50.094000
25	7	3	Aero0	DisRaFD	230	labor4	2015-01-21_10.39.50.094000
25	5	4	Aero0	MereExp	230	labor4	2015-01-21_10.39.50.094000
