ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
10	3	1	Water	FeaRaFD	171	labor1	2015-01-20_09.42.46.137000
10	1	2	Water	DisRaFD	171	labor1	2015-01-20_09.42.46.137000
10	7	3	Water	MereExp	171	labor1	2015-01-20_09.42.46.137000
10	8	4	Water	DisIAPS	171	labor1	2015-01-20_09.42.46.137000
10	4	1	Water	DisRaFD	230	labor1	2015-01-20_09.42.46.137000
10	2	2	Water	MereExp	230	labor1	2015-01-20_09.42.46.137000
10	6	3	Water	DisIAPS	230	labor1	2015-01-20_09.42.46.137000
10	5	4	Water	FeaRaFD	230	labor1	2015-01-20_09.42.46.137000
10	1	1	Aero0	DisIAPS	171	labor1	2015-01-20_09.42.46.137000
10	3	2	Aero0	MereExp	171	labor1	2015-01-20_09.42.46.137000
10	5	3	Aero0	DisRaFD	171	labor1	2015-01-20_09.42.46.137000
10	4	4	Aero0	FeaRaFD	171	labor1	2015-01-20_09.42.46.137000
10	6	1	Aero0	DisRaFD	230	labor1	2015-01-20_09.42.46.137000
10	8	2	Aero0	DisIAPS	230	labor1	2015-01-20_09.42.46.137000
10	2	3	Aero0	FeaRaFD	230	labor1	2015-01-20_09.42.46.137000
10	7	4	Aero0	MereExp	230	labor1	2015-01-20_09.42.46.137000
