subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals_for_calc; reversals_total; stepsize; pas_rating
3;1;1;2;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Neutral pose 3.jpg;0.07;0;1;0;0;0.008;1
3;1;2;5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Cups 2.jpg;0.12;0;0;0;0;0.008;5
3;1;3;2;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Fire hydrant 1.jpg;0.078;1;-1;1;1;0.008;4
3;1;4;5;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Bark 1.jpg;0.12;0;0;0;0;0.008;5
3;1;5;2;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Fire hydrant 4.jpg;0.07;-1;-1;1;1;0.008;4
3;1;6;5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Fence 3.jpg;0.12;0;0;0;0;0.008;5
3;1;7;5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Bark 5.jpg;0.12;0;0;0;0;0.008;5
3;1;8;2;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Roofing 3.jpg;0.062;-1;-1;1;1;0.008;3
3;1;9;2;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Barrels 1.jpg;0.054;-1;-1;1;1;0.008;4
3;1;10;2;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Keyboard 3.jpg;0.046;-1;-1;1;1;0.008;3
3;1;11;5;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Bed 1.jpg;0.12;0;0;0;0;0.008;5
3;1;12;2;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Neutral face 4.jpg;0.038;-1;-1;1;1;0.008;3
3;1;13;5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Paper 5.jpg;0.12;0;0;0;0;0.008;5
3;1;14;2;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Keys 1.jpg;0.03;-1;-1;1;1;0.008;2
3;1;15;5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Fence 5.jpg;0.12;0;0;0;0;0.008;5
3;1;16;5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Destruction 9.jpg;0.12;0;0;0;0;0.008;5
3;2;1;2;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Railroad 1.jpg;0.03;-1;-1;1;1;0.008;2
3;2;2;5;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Alcohol 3.jpg;0.12;0;0;0;0;0.008;5
3;2;3;2;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Car 2.jpg;0.03;-1;-1;1;1;0.008;2
3;2;4;5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Keyboard 2.jpg;0.12;0;1;0;0;0.008;4
3;2;5;2;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Dirt 3.jpg;0.03;-1;-1;1;1;0.008;3
3;2;6;2;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Crow 2.jpg;0.022;-1;-1;1;1;0.008;2
3;2;7;5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Bark 2.jpg;0.128;1;1;0;0;0.008;5
3;2;8;5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Roofing 1.jpg;0.128;1;-1;1;1;0.008;6
3;2;9;2;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Office supplies 3.jpg;0.022;-1;-1;1;1;0.008;3
3;2;10;5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Neutral face 1.jpg;0.12;-1;-1;1;1;0.008;5
3;2;11;5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Pinecone 2.jpg;0.12;-1;-1;1;1;0.008;5
3;2;12;2;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Cardboard 2.jpg;0.014;-1;-1;1;1;0.008;2
3;2;13;5;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Roofing 4.jpg;0.12;-1;-1;1;1;0.008;6
3;2;14;5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Fence 1.jpg;0.112;-1;-1;1;1;0.008;6
3;2;15;2;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Rocks 3.jpg;0.014;-1;1;2;2;0.004;4
3;2;16;2;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Cups 4.jpg;0.018;1;1;2;2;0.004;2
3;3;1;5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Bored pose 1.jpg;0.104;-1;-1;1;1;0.008;5
3;3;2;2;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Office supplies 4.jpg;0.018;1;1;2;2;0.004;2
3;3;3;5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Skyscraper 1.jpg;0.104;-1;-1;1;1;0.008;5
3;3;4;2;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Bark 4.jpg;0.018;1;1;2;2;0.004;3
3;3;5;5;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Skyscraper 1.jpg;0.104;-1;-1;1;1;0.008;5
3;3;6;2;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Drink 2.jpg;0.022;1;1;2;2;0.004;2
3;3;7;2;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Prison 1.jpg;0.022;1;1;2;2;0.004;2
3;3;8;5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Bark 5.jpg;0.104;-1;-1;1;1;0.008;5
3;3;9;2;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Neutral face 4.jpg;0.022;1;1;2;2;0.004;2
3;3;10;5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Roofing 2.jpg;0.104;-1;-1;1;1;0.008;5
3;3;11;2;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Bark 4.jpg;0.022;1;-1;3;3;0.004;3
3;3;12;5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Rocks 2.jpg;0.104;-1;-1;1;1;0.008;5
3;3;13;2;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Bed 1.jpg;0.018;-1;-1;3;3;0.004;2
3;3;14;2;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Railroad 1.jpg;0.018;-1;1;4;4;0.002;1
3;3;15;5;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Roofing 3.jpg;0.104;-1;-1;1;1;0.008;5
3;3;16;5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Dirt 3.jpg;0.104;-1;-1;1;1;0.008;5
3;4;1;5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Crow 2.jpg;0.104;-1;-1;1;1;0.008;5
3;4;2;2;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Rocks 3.jpg;0.02;1;-1;5;5;0.002;3
3;4;3;5;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Neutral face 1.jpg;0.104;-1;1;2;2;0.004;4
3;4;4;2;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Drink 2.jpg;0.018;-1;-1;5;5;0.002;2
3;4;5;5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Roofing 4.jpg;0.108;1;1;2;2;0.004;5
3;4;6;2;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Office supplies 3.jpg;0.018;-1;-1;5;5;0.002;2
3;4;7;2;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Cups 2.jpg;0.018;-1;1;6;6;0.002;1
3;4;8;5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Keyboard 3.jpg;0.108;1;1;2;2;0.004;5
3;4;9;5;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Destruction 9.jpg;0.108;1;1;2;2;0.004;5
3;4;10;2;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Office supplies 4.jpg;0.02;1;-1;7;7;0.002;3
3;4;11;5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Fire hydrant 4.jpg;0.108;1;1;2;2;0.004;5
3;4;12;5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Fence 3.jpg;0.108;1;1;2;2;0.004;5
3;4;13;5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Neutral pose 3.jpg;0.108;1;1;2;2;0.004;4
3;4;14;2;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Roofing 2.jpg;0.018;-1;-1;7;7;0.002;2
3;4;15;2;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Bark 2.jpg;0.018;-1;-1;7;7;0.002;2
3;4;16;2;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Keys 1.jpg;0.018;-1;1;8;8;0.001;1
3;5;1;5;neutral;B   J   A   V;maske_1.bmp;maske_2.bmp;Cardboard 2.jpg;0.112;1;1;2;2;0.004;0
3;5;2;2;neutral;F   R   A   P;maske_2.bmp;maske_1.bmp;Fence 1.jpg;0.019;1;1;8;8;0.001;0
3;5;3;5;neutral;F   O   P   V;maske_1.bmp;maske_2.bmp;Paper 5.jpg;0.112;1;1;2;2;0.004;5
3;5;4;2;neutral;S   A   B   F;maske_2.bmp;maske_1.bmp;Bored pose 1.jpg;0.019;1;1;8;8;0.001;1
3;5;5;2;neutral;P   A   B   F;maske_2.bmp;maske_1.bmp;Cups 4.jpg;0.02;1;1;8;8;0.001;1
3;5;6;5;neutral;R   O   W   S;maske_1.bmp;maske_2.bmp;Prison 1.jpg;0.112;1;1;2;2;0.004;5
3;5;7;5;neutral;B   O   V   S;maske_2.bmp;maske_1.bmp;Car 2.jpg;0.112;1;1;2;2;0.004;5
3;5;8;2;neutral;S   P   O   B;maske_1.bmp;maske_2.bmp;Barrels 1.jpg;0.021;1;1;8;8;0.001;2
3;5;9;5;neutral;B   J   A   V;maske_2.bmp;maske_1.bmp;Alcohol 3.jpg;0.112;1;1;2;2;0.004;5
3;5;10;2;neutral;S   P   O   B;maske_2.bmp;maske_1.bmp;Roofing 1.jpg;0.021;1;1;8;8;0.001;2
3;5;11;5;neutral;B   O   V   S;maske_1.bmp;maske_2.bmp;Keyboard 2.jpg;0.112;1;1;2;2;0.004;5
3;5;12;2;neutral;S   A   B   F;maske_1.bmp;maske_2.bmp;Pinecone 2.jpg;0.021;1;1;8;8;0.001;1
3;5;13;5;neutral;F   O   P   V;maske_2.bmp;maske_1.bmp;Fire hydrant 1.jpg;0.112;1;1;2;2;0.004;5
3;5;14;5;neutral;R   O   W   S;maske_2.bmp;maske_1.bmp;Rocks 2.jpg;0.112;1;1;2;2;0.004;5
3;5;15;2;neutral;F   R   A   P;maske_1.bmp;maske_2.bmp;Bark 1.jpg;0.022;1;1;8;8;0.001;1
3;5;16;2;neutral;P   A   B   F;maske_1.bmp;maske_2.bmp;Fence 5.jpg;0.023;1;1;8;8;0.001;1
