subjnr;adaptation_target;us_valence;eval_rating;cs_filename
6;pas_5;positive;6;J   O   R   F
6;pas_5;negative;4;S   P   A   V
6;pas_2;negative;4;Z   U   N   T
6;pas_2;negative;4;G   U   N   T
6;pas_2;positive;4;H   E   M   K
6;pas_5;negative;4;S   A   P   V
6;pas_5;positive;13;J   O   B   F
6;pas_5;positive;11;B   O   R   F
6;pas_2;negative;11;N   U   G   Z
6;pas_5;positive;7;F   R   O   B
6;pas_2;positive;14;K   L   E   M
6;pas_2;positive;15;L   E   M   K
6;pas_2;positive;12;K   E   H   M
6;pas_2;negative;14;T   U   N   G
6;pas_5;negative;12;W   A   P   S
6;pas_2;positive;17;K   L   E   H
6;pas_2;positive;8;M   E   H   K
6;pas_2;positive;13;K   E   L   M
6;pas_5;positive;13;F   O   R   B
6;pas_2;negative;8;G   N   U   Z
6;pas_2;negative;11;T   U   G   Z
6;pas_5;negative;16;S   W   A   P
6;pas_2;negative;6;G   U   T   Z
6;pas_5;positive;12;B   J   O   F
6;pas_2;negative;16;Z   U   N   G
6;pas_2;positive;16;H   E   L   K
6;pas_5;positive;15;R   O   B   F
6;pas_5;positive;8;J   O   R   B
6;pas_5;negative;15;P   S   A   V
6;pas_5;negative;15;V   A   P   S
6;pas_5;negative;15;S   V   A   W
6;pas_5;negative;12;V   A   S   P
