experiment	subject	trial	order	material	repeated	related	probetype	response	correct	rt	confidence	confidence_rt	probe	category	ndisplayed	nrelated	nrelated_unique	trial1	trial2	trial3	trial4	mean_trial	last_trial	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	110	-1	3	migo	1	2	lure	2	1	1297	4	2038	Pear16.bmp	34	0	3	2	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	1	2	target	1	1	1529	4	957	Scissors23.bmp	38	1	8	4	11	0	0	0	11,000000	11	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	1	1	lure	1	0	1349	3	1083	Key11.bmp	25	0	2	2	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	2	1	target	1	1	1105	3	1246	Shell18.bmp	40	3	0	0	9	9	43	0	20,000000	43	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	2	2	lure	1	0	944	4	1039	Onion19.bmp	32	0	10	4	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	2	2	lure	1	0	1881	1	1092	Stapler6.bmp	41	0	10	4	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	2	1	lure	2	1	2211	2	1020	Hand17.bmp	21	0	5	2	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	1	1	target	1	1	1248	1	1342	Holly20.bmp	23	1	1	1	21	0	0	0	21,000000	21	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	2	1	target	2	0	1198	4	954	Pen20.bmp	35	3	0	0	17	17	25	0	19,000000	25	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	3	3	target	1	1	1459	2	1371	Umbrella19.bmp	49	1	5	3	9	0	0	0	9,000000	9	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	3	3	lure	1	0	1124	1	1234	Daff3.bmp	14	0	4	2	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	1	1	lure	2	1	1212	1	827	Flower13.bmp	16	0	3	2	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	2	1	lure	1	0	1012	1	956	Paperclip13.bmp	33	0	5	2	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	3	3	target	1	1	1419	3	950	Present14.bmp	37	2	4	3	13	39	0	0	26,000000	39	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	2	2	target	1	1	810	4	1413	Keys5.bmp	26	3	7	4	19	39	39	0	32,000000	39	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	3	3	lure	2	1	1854	3	850	Strawberry18.bmp	43	0	3	2	0	0	0	0	0,000000	0	19	1	1	1	1	PSYCHOLOGIE
FAUST_1[2014-06]	110	-1	3	migo	1	2	target	1	1	782	4	1417	Ginger10.bmp	19	1	8	3	15	0	0	0	15,000000	15	19	1	1	1	1	PSYCHOLOGIE
